team,season,situation,games_played,goalsFor,goalsAgainst,xGoalsFor,xGoalsAgainst,xGoalsPercentage,shotsOnGoalFor,shotsOnGoalAgainst,highDangerShotsFor,highDangerShotsAgainst,penaltiesFor,penaltiesAgainst
CHI,2025,other,71,17.0,31.0,22.07,26.31,0.46,105.0,106.0,29.0,36.0,5.0,9.0
CHI,2025,all,71,184.0,223.0,190.35,235.32,0.45,1733.0,2131.0,210.0,245.0,248.0,239.0
CHI,2025,5on5,71,130.0,160.0,126.58,164.26,0.44,1365.0,1698.0,127.0,150.0,215.0,207.0
CHI,2025,4on5,71,4.0,30.0,4.31,40.24,0.1,43.0,277.0,4.0,54.0,5.0,11.0
CHI,2025,5on4,71,33.0,2.0,37.38,4.5,0.89,220.0,50.0,50.0,5.0,23.0,12.0
TOR,2025,other,72,36.0,31.0,38.31,37.73,0.5,122.0,140.0,57.0,50.0,5.0,4.0
TOR,2025,all,72,224.0,248.0,211.94,242.17,0.47,1956.0,2325.0,213.0,240.0,245.0,224.0
TOR,2025,5on5,72,154.0,178.0,137.62,158.82,0.46,1507.0,1805.0,113.0,138.0,226.0,211.0
TOR,2025,4on5,72,5.0,33.0,4.86,40.92,0.11,59.0,331.0,7.0,46.0,6.0,6.0
TOR,2025,5on4,72,29.0,6.0,31.16,4.7,0.87,268.0,49.0,36.0,6.0,8.0,3.0
LAK,2025,other,71,26.0,33.0,34.32,30.51,0.53,99.0,156.0,52.0,39.0,5.0,6.0
LAK,2025,all,71,185.0,208.0,213.04,209.46,0.5,1963.0,1943.0,222.0,200.0,237.0,226.0
LAK,2025,5on5,71,123.0,123.0,140.95,131.5,0.52,1533.0,1471.0,123.0,102.0,207.0,203.0
LAK,2025,4on5,71,6.0,47.0,5.41,41.91,0.11,63.0,263.0,9.0,54.0,8.0,10.0
LAK,2025,5on4,71,30.0,5.0,32.36,5.54,0.85,268.0,53.0,38.0,5.0,17.0,7.0
NSH,2025,other,71,29.0,40.0,35.54,40.14,0.47,142.0,146.0,51.0,55.0,2.0,8.0
NSH,2025,all,71,211.0,234.0,221.11,232.86,0.49,1988.0,2098.0,258.0,249.0,265.0,253.0
NSH,2025,5on5,71,131.0,156.0,145.33,147.8,0.5,1502.0,1622.0,156.0,142.0,235.0,227.0
NSH,2025,4on5,71,5.0,36.0,4.3,39.06,0.1,53.0,266.0,4.0,44.0,12.0,9.0
NSH,2025,5on4,71,46.0,2.0,35.95,5.86,0.86,291.0,64.0,47.0,8.0,16.0,9.0
DET,2025,other,71,39.0,32.0,32.77,29.48,0.53,132.0,123.0,47.0,40.0,4.0,3.0
DET,2025,all,71,205.0,208.0,227.2,212.72,0.52,2018.0,1968.0,242.0,207.0,229.0,254.0
DET,2025,5on5,71,120.0,136.0,142.12,143.24,0.5,1547.0,1534.0,129.0,125.0,201.0,230.0
DET,2025,4on5,71,2.0,36.0,4.08,34.61,0.11,41.0,243.0,7.0,37.0,9.0,16.0
DET,2025,5on4,71,44.0,4.0,48.22,5.39,0.9,298.0,68.0,59.0,5.0,15.0,5.0
WPG,2025,other,71,24.0,32.0,34.02,39.8,0.46,111.0,129.0,51.0,57.0,6.0,2.0
WPG,2025,all,71,201.0,216.0,214.57,230.12,0.48,1878.0,1985.0,241.0,282.0,221.0,221.0
WPG,2025,5on5,71,138.0,144.0,137.26,147.6,0.48,1441.0,1571.0,132.0,166.0,202.0,196.0
WPG,2025,4on5,71,5.0,38.0,7.48,38.33,0.16,57.0,236.0,13.0,50.0,9.0,21.0
WPG,2025,5on4,71,34.0,2.0,35.82,4.38,0.89,269.0,49.0,45.0,9.0,4.0,2.0
DAL,2025,other,71,28.0,27.0,34.29,21.8,0.61,117.0,111.0,45.0,25.0,3.0,3.0
DAL,2025,all,71,239.0,192.0,227.1,202.27,0.53,1826.0,1886.0,255.0,223.0,248.0,251.0
DAL,2025,5on5,71,149.0,121.0,138.74,134.18,0.51,1380.0,1437.0,132.0,129.0,223.0,231.0
DAL,2025,4on5,71,3.0,38.0,4.54,41.11,0.1,45.0,277.0,7.0,62.0,9.0,10.0
DAL,2025,5on4,71,59.0,6.0,49.54,5.19,0.91,284.0,61.0,71.0,7.0,13.0,7.0
VGK,2025,other,72,27.0,29.0,32.43,37.05,0.47,135.0,137.0,44.0,50.0,3.0,4.0
VGK,2025,all,72,224.0,219.0,229.84,200.2,0.53,2061.0,1749.0,248.0,214.0,217.0,238.0
VGK,2025,5on5,72,147.0,156.0,150.58,130.84,0.54,1612.0,1361.0,138.0,125.0,198.0,215.0
VGK,2025,4on5,72,3.0,30.0,4.94,28.89,0.15,37.0,212.0,10.0,36.0,1.0,15.0
VGK,2025,5on4,72,47.0,4.0,41.89,3.42,0.92,277.0,39.0,56.0,3.0,15.0,4.0
CAR,2025,other,71,42.0,27.0,36.54,26.11,0.58,144.0,101.0,46.0,41.0,9.0,10.0
CAR,2025,all,71,247.0,208.0,259.77,204.29,0.56,2308.0,1719.0,287.0,227.0,245.0,258.0
CAR,2025,5on5,71,157.0,140.0,175.0,135.41,0.56,1799.0,1338.0,183.0,125.0,212.0,219.0
CAR,2025,4on5,71,7.0,37.0,8.37,36.71,0.19,74.0,218.0,8.0,54.0,7.0,15.0
CAR,2025,5on4,71,41.0,4.0,39.87,6.06,0.87,291.0,62.0,50.0,7.0,17.0,14.0
NYR,2025,other,71,25.0,36.0,25.39,41.26,0.38,106.0,119.0,37.0,60.0,9.0,7.0
NYR,2025,all,71,196.0,225.0,200.65,236.7,0.46,1773.0,2096.0,215.0,258.0,242.0,206.0
NYR,2025,5on5,71,128.0,136.0,130.53,143.22,0.48,1372.0,1600.0,117.0,133.0,221.0,182.0
NYR,2025,4on5,71,4.0,45.0,4.16,45.67,0.08,47.0,322.0,5.0,56.0,7.0,10.0
NYR,2025,5on4,71,39.0,8.0,40.57,6.56,0.86,248.0,55.0,56.0,9.0,5.0,7.0
SJS,2025,other,69,32.0,34.0,26.67,28.5,0.48,113.0,109.0,26.0,44.0,6.0,2.0
SJS,2025,all,69,209.0,248.0,205.27,225.7,0.48,1790.0,2070.0,235.0,247.0,244.0,256.0
SJS,2025,5on5,69,137.0,165.0,129.66,147.58,0.47,1341.0,1577.0,143.0,143.0,218.0,226.0
SJS,2025,4on5,69,3.0,43.0,5.17,43.99,0.11,40.0,322.0,6.0,55.0,6.0,16.0
SJS,2025,5on4,69,37.0,6.0,43.77,5.63,0.89,296.0,62.0,60.0,5.0,14.0,12.0
CBJ,2025,other,71,32.0,33.0,32.3,31.08,0.51,137.0,123.0,43.0,44.0,3.0,6.0
CBJ,2025,all,71,225.0,216.0,226.55,226.84,0.5,2117.0,2064.0,253.0,247.0,236.0,206.0
CBJ,2025,5on5,71,158.0,140.0,157.21,146.41,0.52,1678.0,1590.0,168.0,147.0,208.0,188.0
CBJ,2025,4on5,71,5.0,41.0,4.45,45.92,0.09,60.0,310.0,2.0,51.0,8.0,5.0
CBJ,2025,5on4,71,30.0,2.0,32.58,3.43,0.9,242.0,41.0,40.0,5.0,17.0,7.0
OTT,2025,other,71,22.0,27.0,30.13,32.82,0.48,120.0,117.0,36.0,46.0,11.0,3.0
OTT,2025,all,71,236.0,216.0,232.0,187.45,0.55,2058.0,1705.0,256.0,191.0,269.0,290.0
OTT,2025,5on5,71,158.0,141.0,152.2,119.28,0.56,1563.0,1305.0,151.0,106.0,242.0,260.0
OTT,2025,4on5,71,5.0,45.0,6.35,32.07,0.17,53.0,242.0,11.0,38.0,8.0,19.0
OTT,2025,5on4,71,51.0,3.0,43.31,3.29,0.93,322.0,41.0,58.0,1.0,8.0,8.0
BOS,2025,other,71,30.0,31.0,30.3,39.42,0.43,109.0,177.0,45.0,49.0,9.0,7.0
BOS,2025,all,71,233.0,218.0,214.19,245.08,0.47,1931.0,2137.0,228.0,270.0,315.0,290.0
BOS,2025,5on5,71,155.0,129.0,134.01,154.46,0.46,1480.0,1548.0,118.0,156.0,269.0,257.0
BOS,2025,4on5,71,2.0,49.0,4.76,44.24,0.1,57.0,342.0,8.0,54.0,22.0,14.0
BOS,2025,5on4,71,46.0,9.0,45.12,6.95,0.87,285.0,70.0,57.0,11.0,15.0,12.0
NYI,2025,other,72,34.0,29.0,35.71,35.51,0.5,172.0,117.0,51.0,52.0,4.0,7.0
NYI,2025,all,72,205.0,201.0,219.24,239.83,0.48,2029.0,2022.0,231.0,285.0,217.0,236.0
NYI,2025,5on5,72,131.0,135.0,142.64,159.31,0.47,1529.0,1570.0,130.0,165.0,194.0,208.0
NYI,2025,4on5,72,8.0,31.0,5.82,39.87,0.13,61.0,286.0,5.0,61.0,5.0,15.0
