playerId,name,team,season,situation,games_played,icetime
8478048,Igor Shesterkin,NYR,2025,all,44,2610:05
8482137,Yaroslav Askarov,SJS,2025,all,40,2204:50
8478872,Karel Vejmelka,UTA,2025,all,55,3228:54
8479979,Jake Oettinger,DAL,2025,all,46,2711:09
8477968,Alex Nedeljkovic,SJS,2025,all,33,1882:50
8477967,Thatcher Demko,VAN,2025,all,20,1115:52
8476999,Linus Ullmark,OTT,2025,all,41,2443:52
8478009,Ilya Sorokin,NYI,2025,all,46,2717:30
8480280,Jeremy Swayman,BOS,2025,all,48,2847:22
8476945,Connor Hellebuyck,WPG,2025,all,48,2883:44
8475883,Frederik Andersen,CAR,2025,all,30,1807:28
8480238,Jiri Patera,VAN,2025,all,1,56:49
8477992,Jonas Johansson,TBL,2025,all,23,1304:45
8482445,Devin Cooley,CGY,2025,all,26,1419:53
8479394,Carter Hart,VGK,2025,all,12,659:18
8478406,Mackenzie Blackwood,COL,2025,all,31,1763:01
8476316,Laurent Brossoit,SJS,2025,all,1,59:09
8479292,Charlie Lindgren,WSH,2025,all,20,1186:02
8475311,Darcy Kuemper,LAK,2025,all,45,2597:54
8478435,Dan Vladar,PHI,2025,all,44,2545:11
8477424,Juuse Saros,NSH,2025,all,53,3063:59
8484170,Jacob Fowler,MTL,2025,all,13,773:20
8482123,Drew Commesso,CHI,2025,all,3,181:43
8483703,Sergei Murashov,PIT,2025,all,5,281:17
8477405,Marcus Hogberg,NYI,2025,all,1,13:29
8480843,Lukas Dostal,ANA,2025,all,49,2848:31
8475660,Cam Talbot,DET,2025,all,28,1524:28
8481020,Justus Annunen,NSH,2025,all,23,1205:29
8476899,Matt Murray,SEA,2025,all,5,216:53
8482411,Hunter Shepard,OTT,2025,all,1,35:47
8476914,Joonas Korpisalo,BOS,2025,all,26,1437:16
8482487,Jakub Dobes,MTL,2025,all,35,2040:55
8482661,Jesper Wallstedt,MIN,2025,all,30,1699:33
8475831,Philipp Grubauer,SEA,2025,all,27,1512:09
8482076,Nico Daws,NJD,2025,all,1,60:00
8482821,Arvid Soderblom,CHI,2025,all,22,1286:12
8474593,Jacob Markstrom,NJD,2025,all,39,2247:48
8478024,Ville Husso,ANA,2025,all,16,897:20
8481035,Samuel Ersson,PHI,2025,all,28,1591:04
8471734,Jonathan Quick,NYR,2025,all,23,1299:58
8477484,Spencer Martin,NYR,2025,all,6,290:39
8479193,Casey DeSmith,DAL,2025,all,27,1573:16
8484268,Nikita Tolopilo,VAN,2025,all,15,826:00
8480947,Kevin Lankinen,VAN,2025,all,40,2196:10
8480313,Logan Thompson,WSH,2025,all,50,2962:36
8481668,Arturs Silovs,PIT,2025,all,34,1989:57
8483532,Clay Stevenson,WSH,2025,all,3,180:07
8481544,Mads Sogaard,OTT,2025,all,2,77:25
8479406,Filip Gustavsson,MIN,2025,all,45,2673:03
8474596,Jake Allen,NJD,2025,all,32,1882:26
8481529,Trent Miner,COL,2025,all,4,236:34
8478916,Joey Daccord,SEA,2025,all,43,2484:05
8483114,Thomas Milic,WPG,2025,all,3,138:38
8480045,Ukko-Pekka Luukkonen,BUF,2025,all,28,1603:57
8480193,Daniil Tarasov,FLA,2025,all,24,1397:38
8482761,Carl Lindbom,VGK,2025,all,8,480:40
8476341,Anton Forsberg,LAK,2025,all,29,1647:01
8477831,Pheonix Copley,LAK,2025,all,1,58:34
8479312,Alex Lyon,BUF,2025,all,34,1928:12
8473503,James Reimer,OTT,2025,all,10,594:14
8475683,Sergei Bobrovsky,FLA,2025,all,48,2802:00
8479973,Stuart Skinner,PIT,2025,all,43,2519:53
8482515,Artur Akhtyamov,TOR,2025,all,1,10:32
8479496,David Rittich,NYI,2025,all,28,1583:33
8475852,Petr Mrazek,ANA,2025,all,10,515:53
8478007,Elvis Merzlikins,CBJ,2025,all,28,1559:34
8481033,Akira Schmid,VGK,2025,all,34,1965:47
8483548,Brandon Bussi,CAR,2025,all,33,1995:16
8481519,Spencer Knight,CHI,2025,all,47,2822:02
8477970,Vitek Vanecek,UTA,2025,all,19,1078:04
8476412,Jordan Binnington,STL,2025,all,37,2067:19
8482193,Dylan Garand,NYR,2025,all,1,65:00
8482783,Aleksei Kolosov,PHI,2025,all,4,120:01
8483710,Dennis Hildeby,TOR,2025,all,19,950:36
8475809,Scott Wedgewood,COL,2025,all,39,2221:41
8478499,Adin Hill,VGK,2025,all,23,1245:46
8477465,Tristan Jarry,EDM,2025,all,30,1633:27
8476883,Andrei Vasilevskiy,TBL,2025,all,49,2894:44
8483746,Vyacheslav Buteyets,ANA,2025,all,1,20:00
8481551,Colten Ellis,BUF,2025,all,13,732:12
8479361,Joseph Woll,TOR,2025,all,34,1932:53
8481611,Pyotr Kochetkov,CAR,2025,all,9,490:09
8476434,John Gibson,DET,2025,all,48,2752:03
8476932,Anthony Stolarz,TOR,2025,all,23,1264:39
8482982,Jet Greaves,CBJ,2025,all,46,2736:08
8477990,Brandon Halverson,TBL,2025,all,1,0:06
8480981,Joel Hofer,STL,2025,all,38,2145:00
8478971,Connor Ingram,EDM,2025,all,24,1313:27
8475717,Calvin Pickard,EDM,2025,all,16,864:08
8482447,Leevi Merilinen,OTT,2025,all,20,1094:29
8481692,Dustin Wolf,CGY,2025,all,51,2843:42
8478470,Samuel Montembeault,MTL,2025,all,25,1418:12
8480051,Cayden Primeau,TOR,2025,all,3,181:28
8477480,Eric Comrie,WPG,2025,all,22,1242:04
8480022,Michael DiPietro,BOS,2025,all,1,6:03
