team,season,situation,games_played
FLA,2023,5on5,24
DAL,2023,5on5,61
SJS,2023,5on5,7
STL,2023,5on5,42
TOR,2023,5on5,31
WSH,2023,5on5,4
NYR,2023,5on5,26
PHI,2023,5on5,22
CGY,2023,5on5,5
LAK,2023,5on5,74
LAK,2023,5on5,17
VAN,2023,5on5,3
SEA,2023,5on5,13
SJS,2023,5on5,13
MIN,2023,5on5,10
SEA,2023,5on5,5
CBJ,2023,5on5,54
NYI,2023,5on5,55
SEA,2023,5on5,4
ARI,2023,5on5,4
BUF,2023,5on5,9
TBL,2023,5on5,4
TBL,2023,5on5,20
ANA,2023,5on5,8
OTT,2023,5on5,5
STL,2023,5on5,8
MIN,2023,5on5,4
CHI,2023,5on5,4
EDM,2023,5on5,8
MTL,2023,5on5,35
VGK,2023,5on5,53
CGY,2023,5on5,9
VAN,2023,5on5,60
OTT,2023,5on5,38
BUF,2023,5on5,11
NYI,2023,5on5,6
OTT,2023,5on5,56
DET,2023,5on5,10
CAR,2023,5on5,5
NSH,2023,5on5,54
VGK,2023,5on5,8
STL,2023,5on5,27
ARI,2023,5on5,11
TOR,2023,5on5,23
CBJ,2023,5on5,4
CHI,2023,5on5,4
BOS,2023,5on5,4
CGY,2023,5on5,16
VGK,2023,5on5,7
CBJ,2023,5on5,21
BOS,2023,5on5,21
CAR,2023,5on5,27
PHI,2023,5on5,21
PHI,2023,5on5,19
VGK,2023,5on5,12
PHI,2023,5on5,16
BUF,2023,5on5,11
EDM,2023,5on5,7
NYI,2023,5on5,6
BOS,2023,5on5,13
LAK,2023,5on5,18
BUF,2023,5on5,9
PHI,2023,5on5,26
BOS,2023,5on5,8
TOR,2023,5on5,6
NYR,2023,5on5,6
MTL,2023,5on5,3
CAR,2023,5on5,18
PIT,2023,5on5,9
PHI,2023,5on5,35
VGK,2023,5on5,4
DAL,2023,5on5,9
MIN,2023,5on5,4
FLA,2023,5on5,40
CGY,2023,5on5,33
STL,2023,5on5,19
CBJ,2023,5on5,4
PIT,2023,5on5,17
PIT,2023,5on5,17
ARI,2023,5on5,3
MIN,2023,5on5,12
PHI,2023,5on5,4
SEA,2023,5on5,23
TBL,2023,5on5,18
TBL,2023,5on5,12
COL,2023,5on5,11
VAN,2023,5on5,43
BUF,2023,5on5,12
LAK,2023,5on5,71
TOR,2023,5on5,18
VAN,2023,5on5,16
VGK,2023,5on5,24
VGK,2023,5on5,44
CHI,2023,5on5,32
EDM,2023,5on5,8
COL,2023,5on5,6
SJS,2023,5on5,13
CHI,2023,5on5,3
VGK,2023,5on5,26
EDM,2023,5on5,4
VAN,2023,5on5,81
VAN,2023,5on5,3
EDM,2023,5on5,18
WPG,2023,5on5,5
FLA,2023,5on5,10
TBL,2023,5on5,4
MTL,2023,5on5,11
CBJ,2023,5on5,4
DET,2023,5on5,47
COL,2023,5on5,34
CBJ,2023,5on5,9
VGK,2023,5on5,4
WSH,2023,5on5,6
PIT,2023,5on5,10
MTL,2023,5on5,16
NYI,2023,5on5,12
SJS,2023,5on5,7
PHI,2023,5on5,7
BUF,2023,5on5,5
NYR,2023,5on5,7
ANA,2023,5on5,8
NYR,2023,5on5,54
OTT,2023,5on5,6
MTL,2023,5on5,14
BOS,2023,5on5,13
SJS,2023,5on5,37
COL,2023,5on5,46
NYI,2023,5on5,36
CBJ,2023,5on5,6
ARI,2023,5on5,27
NYR,2023,5on5,64
ANA,2023,5on5,3
DET,2023,5on5,5
EDM,2023,5on5,13
PHI,2023,5on5,10
VGK,2023,5on5,10
VGK,2023,5on5,4
CGY,2023,5on5,15
CAR,2023,5on5,23
VGK,2023,5on5,8
BOS,2023,5on5,18
EDM,2023,5on5,10
ARI,2023,5on5,5
VGK,2023,5on5,50
PIT,2023,5on5,16
DAL,2023,5on5,65
NJD,2023,5on5,38
TOR,2023,5on5,8
ARI,2023,5on5,58
ARI,2023,5on5,15
TOR,2023,5on5,6
CHI,2023,5on5,2
