team,season,situation,games_played,goalsFor,goalsAgainst,xGoalsFor,xGoalsAgainst,xGoalsPercentage,shotsOnGoalFor,shotsOnGoalAgainst,highDangerShotsFor,highDangerShotsAgainst,penaltiesFor,penaltiesAgainst
NYR,2023,other,82,49.0,22.0,45.97,31.46,0.59,158.0,128.0,67.0,46.0,2.0,5.0
NYR,2023,all,82,278.0,226.0,267.6,249.94,0.52,2582.0,2419.0,292.0,279.0,283.0,297.0
NYR,2023,5on5,82,166.0,165.0,162.67,167.47,0.49,1974.0,1931.0,153.0,165.0,256.0,260.0
NYR,2023,4on5,82,7.0,36.0,8.53,47.11,0.15,72.0,298.0,12.0,66.0,10.0,23.0
NYR,2023,5on4,82,56.0,3.0,50.43,3.91,0.93,378.0,62.0,60.0,2.0,15.0,9.0
TBL,2023,other,82,43.0,37.0,39.92,44.04,0.48,146.0,155.0,59.0,72.0,7.0,6.0
TBL,2023,all,82,288.0,267.0,269.37,260.06,0.51,2402.0,2430.0,298.0,308.0,303.0,312.0
TBL,2023,5on5,82,172.0,190.0,166.07,167.8,0.5,1814.0,1894.0,159.0,180.0,270.0,286.0
TBL,2023,4on5,82,5.0,35.0,7.88,43.12,0.15,78.0,319.0,10.0,51.0,11.0,12.0
TBL,2023,5on4,82,68.0,5.0,55.5,5.11,0.92,364.0,62.0,70.0,5.0,15.0,8.0
OTT,2023,other,82,33.0,26.0,37.21,25.14,0.6,175.0,122.0,67.0,34.0,7.0,11.0
OTT,2023,all,82,250.0,281.0,251.67,246.55,0.51,2602.0,2432.0,291.0,303.0,322.0,350.0
OTT,2023,5on5,82,163.0,193.0,161.24,166.67,0.49,1951.0,1913.0,163.0,185.0,285.0,310.0
OTT,2023,4on5,82,6.0,57.0,5.75,48.95,0.11,77.0,327.0,5.0,73.0,11.0,18.0
OTT,2023,5on4,82,48.0,5.0,47.47,5.78,0.89,399.0,70.0,56.0,11.0,19.0,11.0
CHI,2023,other,82,25.0,27.0,20.82,34.55,0.38,110.0,121.0,27.0,48.0,2.0,4.0
CHI,2023,all,82,178.0,289.0,206.24,274.4,0.43,2153.0,2683.0,232.0,297.0,279.0,281.0
CHI,2023,5on5,82,118.0,202.0,141.71,191.19,0.43,1691.0,2188.0,145.0,188.0,252.0,247.0
CHI,2023,4on5,82,2.0,53.0,5.59,43.66,0.11,63.0,320.0,9.0,55.0,11.0,22.0
CHI,2023,5on4,82,33.0,7.0,38.11,5.0,0.88,289.0,54.0,51.0,6.0,14.0,8.0
SEA,2023,other,82,17.0,37.0,25.46,28.06,0.48,113.0,137.0,40.0,39.0,9.0,7.0
SEA,2023,all,82,214.0,232.0,231.6,224.66,0.51,2348.0,2391.0,252.0,239.0,260.0,276.0
SEA,2023,5on5,82,144.0,146.0,157.93,151.93,0.51,1875.0,1887.0,149.0,138.0,226.0,245.0
SEA,2023,4on5,82,5.0,40.0,4.84,39.9,0.11,61.0,309.0,6.0,55.0,9.0,15.0
SEA,2023,5on4,82,48.0,9.0,43.38,4.78,0.9,299.0,58.0,57.0,7.0,16.0,9.0
NSH,2023,other,82,37.0,38.0,36.36,36.94,0.5,153.0,136.0,58.0,57.0,6.0,9.0
NSH,2023,all,82,266.0,248.0,273.29,250.29,0.52,2642.0,2507.0,313.0,292.0,299.0,313.0
