team,season,situation,games_played,goalsFor,goalsAgainst,xGoalsFor,xGoalsAgainst,xGoalsPercentage,shotsOnGoalFor,shotsOnGoalAgainst,highDangerShotsFor,highDangerShotsAgainst,penaltiesFor,penaltiesAgainst
WPG,2021,other,82,37.0,34.0,35.55,37.28,0.49,158.0,166.0,46.0,58.0,13.0,6.0
WPG,2021,all,82,250.0,253.0,270.26,278.14,0.49,2645.0,2721.0,268.0,290.0,288.0,297.0
WPG,2021,5on5,82,156.0,162.0,181.06,185.02,0.49,2047.0,2104.0,156.0,169.0,250.0,264.0
WPG,2021,4on5,82,8.0,50.0,9.29,48.85,0.16,75.0,373.0,17.0,54.0,7.0,16.0
WPG,2021,5on4,82,49.0,7.0,44.35,6.99,0.86,365.0,78.0,49.0,9.0,18.0,11.0
CBJ,2021,other,82,37.0,34.0,34.71,31.5,0.52,122.0,138.0,44.0,38.0,5.0,6.0
CBJ,2021,all,82,258.0,297.0,239.75,289.9,0.45,2463.0,2889.0,219.0,268.0,284.0,267.0
CBJ,2021,5on5,82,177.0,214.0,163.27,199.7,0.45,1948.0,2348.0,131.0,151.0,259.0,241.0
CBJ,2021,4on5,82,7.0,44.0,8.52,50.68,0.14,94.0,333.0,11.0,68.0,12.0,15.0
CBJ,2021,5on4,82,37.0,5.0,33.25,8.02,0.81,299.0,70.0,33.0,11.0,8.0,5.0
PIT,2021,other,82,43.0,32.0,37.96,36.53,0.51,169.0,157.0,48.0,48.0,8.0,9.0
PIT,2021,all,82,269.0,222.0,274.0,239.78,0.53,2850.0,2577.0,258.0,248.0,249.0,284.0
PIT,2021,5on5,82,180.0,154.0,184.03,160.12,0.53,2257.0,2048.0,148.0,145.0,219.0,250.0
PIT,2021,4on5,82,3.0,29.0,4.71,34.74,0.12,63.0,285.0,7.0,45.0,5.0,14.0
PIT,2021,5on4,82,43.0,7.0,47.3,8.39,0.85,361.0,87.0,55.0,10.0,17.0,11.0
NSH,2021,other,82,34.0,36.0,34.97,40.14,0.47,151.0,206.0,41.0,48.0,7.0,6.0
