team,season,situation,games_played
PHI,2021,5on5,5
NJD,2021,5on5,3
DAL,2021,5on5,72
COL,2021,5on5,5
ANA,2021,5on5,7
PIT,2021,5on5,66
CBJ,2021,5on5,26
COL,2021,5on5,5
FLA,2021,5on5,2
EDM,2021,5on5,10
ANA,2021,5on5,4
LAK,2021,5on5,36
LAK,2021,5on5,14
ARI,2021,5on5,3
TOR,2021,5on5,28
BOS,2021,5on5,4
EDM,2021,5on5,48
ARI,2021,5on5,19
MIN,2021,5on5,33
ANA,2021,5on5,76
WPG,2021,5on5,7
MTL,2021,5on5,8
NSH,2021,5on5,10
ANA,2021,5on5,24
WPG,2021,5on5,9
ANA,2021,5on5,10
MTL,2021,5on5,2
CAR,2021,5on5,2
CAR,2021,5on5,8
ARI,2021,5on5,2
OTT,2021,5on5,19
DET,2021,5on5,27
BUF,2021,5on5,20
FLA,2021,5on5,16
COL,2021,5on5,4
DAL,2021,5on5,9
CBJ,2021,5on5,4
ARI,2021,5on5,5
WPG,2021,5on5,55
OTT,2021,5on5,28
LAK,2021,5on5,2
CBJ,2021,5on5,2
VAN,2021,5on5,6
BUF,2021,5on5,39
ANA,2021,5on5,1
ANA,2021,5on5,11
CBJ,2021,5on5,20
MTL,2021,5on5,11
OTT,2021,5on5,18
PHI,2021,5on5,5
STL,2021,5on5,10
NSH,2021,5on5,7
VAN,2021,5on5,7
OTT,2021,5on5,5
BUF,2021,5on5,3
CAR,2021,5on5,6
PHI,2021,5on5,8
LAK,2021,5on5,6
OTT,2021,5on5,4
CHI,2021,5on5,39
NSH,2021,5on5,25
STL,2021,5on5,2
TOR,2021,5on5,2
COL,2021,5on5,25
NYI,2021,5on5,15
CGY,2021,5on5,15
MIN,2021,5on5,15
TBL,2021,5on5,17
PIT,2021,5on5,46
PHI,2021,5on5,11
MTL,2021,5on5,19
CBJ,2021,5on5,1
PIT,2021,5on5,48
COL,2021,5on5,31
TOR,2021,5on5,34
SEA,2021,5on5,26
DAL,2021,5on5,66
NSH,2021,5on5,4
COL,2021,5on5,12
EDM,2021,5on5,18
NYR,2021,5on5,81
MTL,2021,5on5,41
BUF,2021,5on5,42
OTT,2021,5on5,4
CBJ,2021,5on5,7
LAK,2021,5on5,3
LAK,2021,5on5,43
NYI,2021,5on5,10
WPG,2021,5on5,11
CHI,2021,5on5,6
SEA,2021,5on5,12
CBJ,2021,5on5,7
LAK,2021,5on5,27
SJS,2021,5on5,6
EDM,2021,5on5,20
EDM,2021,5on5,5
FLA,2021,5on5,4
DET,2021,5on5,49
CBJ,2021,5on5,18
PIT,2021,5on5,47
BUF,2021,5on5,16
NYI,2021,5on5,4
SJS,2021,5on5,5
WPG,2021,5on5,23
PHI,2021,5on5,6
WPG,2021,5on5,13
DAL,2021,5on5,28
COL,2021,5on5,5
STL,2021,5on5,18
OTT,2021,5on5,11
MTL,2021,5on5,19
NSH,2021,5on5,15
BUF,2021,5on5,39
WSH,2021,5on5,33
NYR,2021,5on5,7
PIT,2021,5on5,3
OTT,2021,5on5,42
NYR,2021,5on5,52
WSH,2021,5on5,6
SEA,2021,5on5,7
COL,2021,5on5,21
ANA,2021,5on5,19
SJS,2021,5on5,23
WPG,2021,5on5,5
STL,2021,5on5,5
TBL,2021,5on5,13
ANA,2021,5on5,6
VGK,2021,5on5,9
ANA,2021,5on5,17
NYI,2021,5on5,13
CBJ,2021,5on5,8
SJS,2021,5on5,7
BUF,2021,5on5,10
FLA,2021,5on5,14
VAN,2021,5on5,5
PHI,2021,5on5,12
VAN,2021,5on5,39
SJS,2021,5on5,9
ANA,2021,5on5,5
PHI,2021,5on5,12
WSH,2021,5on5,11
LAK,2021,5on5,4
PIT,2021,5on5,7
CHI,2021,5on5,12
CAR,2021,5on5,11
BOS,2021,5on5,2
OTT,2021,5on5,4
CBJ,2021,5on5,7
SJS,2021,5on5,18
CAR,2021,5on5,15
PIT,2021,5on5,15
PHI,2021,5on5,4
COL,2021,5on5,8
OTT,2021,5on5,3
BOS,2021,5on5,29
CBJ,2021,5on5,4
PIT,2021,5on5,60
STL,2021,5on5,11
EDM,2021,5on5,6
COL,2021,5on5,16
TBL,2021,5on5,2
OTT,2021,5on5,54
BOS,2021,5on5,21
TOR,2021,5on5,1
TBL,2021,5on5,16
DAL,2021,5on5,13
LAK,2021,5on5,5
TBL,2021,5on5,12
DET,2021,5on5,10
EDM,2021,5on5,22
WSH,2021,5on5,18
TOR,2021,5on5,41
FLA,2021,5on5,59
VGK,2021,5on5,29
CAR,2021,5on5,1
CHI,2021,5on5,4
CBJ,2021,5on5,7
ARI,2021,5on5,6
NSH,2021,5on5,8
BOS,2021,5on5,6
PHI,2021,5on5,9
PHI,2021,5on5,6
CGY,2021,5on5,20
ANA,2021,5on5,14
BOS,2021,5on5,2
BUF,2021,5on5,27
OTT,2021,5on5,3
WSH,2021,5on5,50
VGK,2021,5on5,14
SJS,2021,5on5,2
NSH,2021,5on5,69
OTT,2021,5on5,18
CBJ,2021,5on5,25
MIN,2021,5on5,4
FLA,2021,5on5,16
CBJ,2021,5on5,13
STL,2021,5on5,28
ANA,2021,5on5,12
NSH,2021,5on5,12
OTT,2021,5on5,4
TBL,2021,5on5,8
CAR,2021,5on5,10
TOR,2021,5on5,19
BOS,2021,5on5,13
BOS,2021,5on5,4
EDM,2021,5on5,30
NJD,2021,5on5,12
NYI,2021,5on5,19
NYR,2021,5on5,15
DET,2021,5on5,14
TBL,2021,5on5,5
DET,2021,5on5,14
FLA,2021,5on5,11
VAN,2021,5on5,10
WSH,2021,5on5,6
EDM,2021,5on5,12
WPG,2021,5on5,15
ARI,2021,5on5,32
CAR,2021,5on5,14
EDM,2021,5on5,4
VGK,2021,5on5,2
TBL,2021,5on5,18
VAN,2021,5on5,19
ARI,2021,5on5,11
NJD,2021,5on5,3
BUF,2021,5on5,2
NYR,2021,5on5,25
TOR,2021,5on5,33
CAR,2021,5on5,10
DET,2021,5on5,22
FLA,2021,5on5,2
MIN,2021,5on5,21
COL,2021,5on5,27
DET,2021,5on5,39
PHI,2021,5on5,7
SEA,2021,5on5,4
WSH,2021,5on5,11
WSH,2021,5on5,28
CBJ,2021,5on5,7
BUF,2021,5on5,4
CHI,2021,5on5,4
LAK,2021,5on5,9
TBL,2021,5on5,14
SEA,2021,5on5,23
COL,2021,5on5,4
LAK,2021,5on5,42
NYI,2021,5on5,18
DET,2021,5on5,11
ARI,2021,5on5,32
NYI,2021,5on5,5
PIT,2021,5on5,4
VAN,2021,5on5,2
CHI,2021,5on5,11
CGY,2021,5on5,56
SJS,2021,5on5,15
NYI,2021,5on5,61
BOS,2021,5on5,6
ARI,2021,5on5,8
TOR,2021,5on5,4
CBJ,2021,5on5,16
PHI,2021,5on5,4
NSH,2021,5on5,63
PHI,2021,5on5,14
WPG,2021,5on5,16
COL,2021,5on5,3
SEA,2021,5on5,4
BOS,2021,5on5,21
ANA,2021,5on5,13
CGY,2021,5on5,6
NSH,2021,5on5,8
EDM,2021,5on5,16
WPG,2021,5on5,59
COL,2021,5on5,16
DET,2021,5on5,3
CAR,2021,5on5,36
BOS,2021,5on5,10
CGY,2021,5on5,6
SEA,2021,5on5,7
BUF,2021,5on5,11
CGY,2021,5on5,73
PIT,2021,5on5,5
NJD,2021,5on5,21
STL,2021,5on5,3
BOS,2021,5on5,10
SJS,2021,5on5,4
DAL,2021,5on5,15
MIN,2021,5on5,8
SJS,2021,5on5,15
TBL,2021,5on5,15
MIN,2021,5on5,20
CHI,2021,5on5,16
VGK,2021,5on5,34
STL,2021,5on5,50
BOS,2021,5on5,10
COL,2021,5on5,4
CBJ,2021,5on5,4
ANA,2021,5on5,15
CAR,2021,5on5,11
STL,2021,5on5,50
MTL,2021,5on5,8
CBJ,2021,5on5,7
CHI,2021,5on5,9
NYR,2021,5on5,13
WSH,2021,5on5,10
TOR,2021,5on5,30
STL,2021,5on5,13
LAK,2021,5on5,49
CHI,2021,5on5,17
SEA,2021,5on5,15
COL,2021,5on5,18
LAK,2021,5on5,20
OTT,2021,5on5,36
CBJ,2021,5on5,7
STL,2021,5on5,8
MTL,2021,5on5,3
ANA,2021,5on5,5
NYR,2021,5on5,3
CBJ,2021,5on5,5
PIT,2021,5on5,6
EDM,2021,5on5,4
ANA,2021,5on5,54
CAR,2021,5on5,55
SEA,2021,5on5,13
ANA,2021,5on5,60
SEA,2021,5on5,8
MIN,2021,5on5,10
SEA,2021,5on5,2
NYI,2021,5on5,10
MTL,2021,5on5,6
ANA,2021,5on5,8
NJD,2021,5on5,5
PIT,2021,5on5,32
DAL,2021,5on5,2
TOR,2021,5on5,20
CHI,2021,5on5,15
CHI,2021,5on5,5
BUF,2021,5on5,14
OTT,2021,5on5,37
CAR,2021,5on5,3
PHI,2021,5on5,16
EDM,2021,5on5,4
SEA,2021,5on5,3
MTL,2021,5on5,31
BUF,2021,5on5,2
FLA,2021,5on5,5
DET,2021,5on5,9
LAK,2021,5on5,37
EDM,2021,5on5,15
WSH,2021,5on5,5
CBJ,2021,5on5,4
MTL,2021,5on5,6
EDM,2021,5on5,6
SEA,2021,5on5,24
PIT,2021,5on5,2
NJD,2021,5on5,10
LAK,2021,5on5,3
VGK,2021,5on5,5
ANA,2021,5on5,10
EDM,2021,5on5,50
COL,2021,5on5,16
MTL,2021,5on5,8
NJD,2021,5on5,8
DAL,2021,5on5,12
VGK,2021,5on5,44
MIN,2021,5on5,2
NJD,2021,5on5,6
CBJ,2021,5on5,4
DET,2021,5on5,11
STL,2021,5on5,16
LAK,2021,5on5,6
TOR,2021,5on5,2
CHI,2021,5on5,38
SJS,2021,5on5,6
COL,2021,5on5,26
CHI,2021,5on5,40
MTL,2021,5on5,42
BOS,2021,5on5,4
ANA,2021,5on5,4
VGK,2021,5on5,5
CGY,2021,5on5,23
SEA,2021,5on5,26
NSH,2021,5on5,18
WSH,2021,5on5,5
PIT,2021,5on5,4
PIT,2021,5on5,10
NJD,2021,5on5,46
BUF,2021,5on5,18
VAN,2021,5on5,18
NJD,2021,5on5,15
ARI,2021,5on5,10
BOS,2021,5on5,5
CHI,2021,5on5,5
LAK,2021,5on5,3
VGK,2021,5on5,6
ANA,2021,5on5,43
MTL,2021,5on5,14
TOR,2021,5on5,11
SJS,2021,5on5,4
TOR,2021,5on5,17
EDM,2021,5on5,18
SEA,2021,5on5,4
DET,2021,5on5,10
STL,2021,5on5,4
LAK,2021,5on5,3
LAK,2021,5on5,2
WSH,2021,5on5,9
VAN,2021,5on5,5
BOS,2021,5on5,10
SJS,2021,5on5,5
CBJ,2021,5on5,26
EDM,2021,5on5,5
CBJ,2021,5on5,4
PHI,2021,5on5,7
NSH,2021,5on5,11
STL,2021,5on5,36
SEA,2021,5on5,24
VGK,2021,5on5,28
NYR,2021,5on5,7
NJD,2021,5on5,10
VAN,2021,5on5,9
BUF,2021,5on5,30
ANA,2021,5on5,4
FLA,2021,5on5,21
SEA,2021,5on5,14
DAL,2021,5on5,18
PIT,2021,5on5,3
WPG,2021,5on5,5
WPG,2021,5on5,39
MTL,2021,5on5,5
COL,2021,5on5,26
BOS,2021,5on5,69
BUF,2021,5on5,12
BUF,2021,5on5,20
NJD,2021,5on5,11
TOR,2021,5on5,12
VGK,2021,5on5,48
TBL,2021,5on5,5
NSH,2021,5on5,16
NYI,2021,5on5,7
CHI,2021,5on5,2
VGK,2021,5on5,13
LAK,2021,5on5,3
