playerId,name,team,season,situation,games_played,icetime
8470147,Curtis McElhinney,T.B,2020,all,12,719:19
8473503,James Reimer,CAR,2020,all,22,1331:06
8477424,Juuse Saros,NSH,2020,all,36,2051:22
8476945,Connor Hellebuyck,WPG,2020,all,45,2602:49
8481001,Veini Vehvilainen,CBJ,2020,all,1,10:40
8471227,Devan Dubnyk,COL,2020,all,22,1182:22
8479496,David Rittich,TOR,2020,all,19,965:46
8476434,John Gibson,ANA,2020,all,35,2031:27
8476341,Anton Forsberg,OTT,2020,all,8,448:33
8477480,Eric Comrie,N.J,2020,all,1,60:00
8479394,Carter Hart,PHI,2020,all,27,1456:34
8478499,Adin Hill,ARI,2020,all,19,1005:54
8479973,Stuart Skinner,EDM,2020,all,1,59:41
8475660,Cam Talbot,MIN,2020,all,33,1961:27
8477967,Thatcher Demko,VAN,2020,all,35,2086:52
8476444,Christopher Gibson,T.B,2020,all,2,112:58
8480382,Alexandar Georgiev,NYR,2020,all,19,954:20
8476899,Matt Murray,OTT,2020,all,27,1404:11
8471418,Anton Khudobin,DAL,2020,all,32,1794:37
8470880,Brian Elliott,PHI,2020,all,30,1607:43
8476904,Chris Driedger,FLA,2020,all,23,1361:36
8477361,Calvin Petersen,L.A,2020,all,35,1997:20
8477465,Tristan Jarry,PIT,2020,all,39,2185:18
8475789,Jack Campbell,TOR,2020,all,22,1284:24
8476509,Maxime Lagace,PIT,2020,all,1,60:00
8478492,Ilya Samsonov,WSH,2020,all,19,1092:49
8475311,Darcy Kuemper,ARI,2020,all,27,1546:37
8479406,Filip Gustavsson,OTT,2020,all,9,471:34
8480045,Ukko-Pekka Luukkonen,BUF,2020,all,4,216:42
8478009,Ilya Sorokin,NYI,2020,all,22,1271:47
8471679,Carey Price,MTL,2020,all,25,1478:45
8474889,Martin Jones,S.J,2020,all,34,1868:25
8478406,Mackenzie Blackwood,N.J,2020,all,35,2090:37
8481031,Ivan Prosvetov,ARI,2020,all,3,130:01
8475920,Michael Houser,BUF,2020,all,4,243:02
8477405,Marcus Hogberg,OTT,2020,all,14,641:50
8471306,Thomas Greiss,DET,2020,all,34,1755:09
8477968,Alex Nedeljkovic,CAR,2020,all,23,1392:02
8475156,Mikko Koskinen,EDM,2020,all,26,1437:39
8476932,Anthony Stolarz,ANA,2020,all,8,464:28
8471734,Jonathan Quick,L.A,2020,all,22,1218:49
8476234,Keith Kinkaid,NYR,2020,all,9,485:53
8477293,Antti Raanta,ARI,2020,all,12,678:50
8471469,Pekka Rinne,NSH,2020,all,24,1310:28
8475852,Petr Mrazek,CAR,2020,all,12,650:59
8478024,Ville Husso,STL,2020,all,17,917:19
8473575,Semyon Varlamov,NYI,2020,all,36,2116:56
8476876,Malcolm Subban,CHI,2020,all,16,881:17
8475883,Frederik Andersen,TOR,2020,all,24,1420:16
8476914,Joonas Korpisalo,CBJ,2020,all,33,1747:34
8475622,Carter Hutton,BUF,2020,all,13,674:43
8480112,Hunter Miska,COL,2020,all,5,259:48
8478916,Joey Daccord,OTT,2020,all,8,403:22
8481501,Artyom Zagidulin,CGY,2020,all,1,28:13
8476861,Oscar Dansk,VGK,2020,all,1,61:25
8475809,Scott Wedgewood,N.J,2020,all,16,888:02
8467950,Craig Anderson,WSH,2020,all,4,168:44
8476999,Linus Ullmark,BUF,2020,all,20,1117:05
8478039,Kaapo Kahkonen,MIN,2020,all,24,1414:29
8476883,Andrei Vasilevskiy,T.B,2020,all,42,2523:36
8475215,Robin Lehner,VGK,2020,all,19,1135:19
8477180,Aaron Dell,N.J,2020,all,7,319:10
8474651,Braden Holtby,VAN,2020,all,21,1260:29
8476316,Laurent Brossoit,WPG,2020,all,14,744:07
8470594,Marc-Andre Fleury,VGK,2020,all,36,2146:36
8473541,Jonathan Bernier,DET,2020,all,24,1306:27
8482246,Alexei Melnichuk,S.J,2020,all,3,130:35
8478435,Dan Vladar,BOS,2020,all,5,300:04
8475683,Sergei Bobrovsky,FLA,2020,all,31,1816:28
8474593,Jacob Markstrom,CGY,2020,all,43,2486:33
8477970,Vitek Vanecek,WSH,2020,all,37,2115:29
8480373,Josef Korenar,S.J,2020,all,10,491:50
8479312,Alex Lyon,PHI,2020,all,6,324:09
8474636,Michael Hutchinson,TOR,2020,all,8,421:52
8468011,Ryan Miller,ANA,2020,all,16,870:55
8475831,Philipp Grubauer,COL,2020,all,40,2366:48
8478007,Elvis Merzlikins,CBJ,2020,all,28,1496:49
8479193,Casey DeSmith,PIT,2020,all,20,1132:19
8469608,Mike Smith,EDM,2020,all,32,1846:33
8480280,Jeremy Swayman,BOS,2020,all,10,601:43
8476412,Jordan Binnington,STL,2020,all,42,2447:40
