team,season,situation,games_played,goalsFor,goalsAgainst,xGoalsFor,xGoalsAgainst,xGoalsPercentage,shotsOnGoalFor,shotsOnGoalAgainst,highDangerShotsFor,highDangerShotsAgainst,penaltiesFor,penaltiesAgainst
T.B,2020,other,56,27,16,23.45,19.15,0.55,89,91,36,21,3,4
T.B,2020,all,56,180,145,166.29,149.27,0.53,1688,1580,168,122,220,214
T.B,2020,5on5,56,112,98,105.73,97.25,0.52,1316,1227,80,64,190,186
T.B,2020,4on5,56,2,28,6.69,28.83,0.19,54,219,10,32,14,18
T.B,2020,5on4,56,39,3,30.42,4.04,0.88,229,43,42,5,13,6
CBJ,2020,other,56,13,25,12.59,21.2,0.37,76,97,15,25,1,3
CBJ,2020,all,56,134,184,127.08,165.35,0.43,1625,1815,104,159,141,135
CBJ,2020,5on5,56,98,131,98.54,115.46,0.46,1353,1504,74,99,132,119
CBJ,2020,4on5,56,5,26,3.47,25.41,0.12,56,175,3,30,5,11
CBJ,2020,5on4,56,18,2,12.48,3.28,0.79,140,39,12,5,3,2
ANA,2020,other,56,15,19,13.74,18,0.43,74,80,16,24,6,6
ANA,2020,all,56,124,177,128.14,157.87,0.45,1500,1713,110,154,203,156
ANA,2020,5on5,56,101,123,92.81,110.17,0.46,1213,1367,76,96,182,137
ANA,2020,4on5,56,1,32,3.78,26.76,0.12,51,235,4,30,3,10
ANA,2020,5on4,56,7,3,17.82,2.94,0.86,162,31,14,4,12,3
CHI,2020,other,56,22,20,14.92,18.9,0.44,99,91,14,27,2,0
CHI,2020,all,56,159,184,137.89,161.43,0.46,1630,1879,118,154,159,181
CHI,2020,5on5,56,100,126,90.93,111.86,0.45,1255,1494,62,87,148,164
CHI,2020,4on5,56,2,33,4.15,25.55,0.14,47,237,5,32,5,10
CHI,2020,5on4,56,35,5,27.89,5.12,0.84,229,57,37,8,4,7
NYR,2020,other,56,21,16,17.94,14.3,0.56,74,72,23,21,5,3
NYR,2020,all,56,176,155,148.35,147.73,0.5,1608,1665,149,145,203,219
NYR,2020,5on5,56,116,106,95,102.2,0.48,1248,1334,85,85,184,199
NYR,2020,4on5,56,4,30,4.8,28.2,0.15,46,219,7,36,7,8
NYR,2020,5on4,56,35,3,30.61,3.03,0.91,240,40,34,3,7,9
WSH,2020,other,56,20,24,16.84,21.94,0.43,76,107,25,28,4,4
WSH,2020,all,56,188,161,147.29,147.26,0.5,1647,1612,145,149,194,177
WSH,2020,5on5,56,131,107,104.35,98.43,0.51,1302,1279,89,88,179,161
WSH,2020,4on5,56,2,25,4.38,24.23,0.15,38,189,6,31,7,9
WSH,2020,5on4,56,35,5,21.72,2.66,0.89,231,37,25,2,4,3
VGK,2020,other,56,24,7,22.04,13.95,0.61,104,76,33,19,5,8
VGK,2020,all,56,190,122,178.58,144.31,0.55,1829,1528,193,155,166,197
VGK,2020,5on5,56,135,97,124.93,108.92,0.53,1410,1235,124,116,146,172
VGK,2020,4on5,56,3,16,4.06,17.35,0.19,44,173,6,16,5,12
VGK,2020,5on4,56,28,2,27.55,4.08,0.87,271,44,30,4,10,5
PHI,2020,other,56,20,15,16.41,19.54,0.46,102,88,18,26,5,9
PHI,2020,all,56,160,197,150.33,157.55,0.49,1690,1636,145,160,189,180
PHI,2020,5on5,56,108,134,105.27,102.81,0.51,1307,1282,87,83,177,157
PHI,2020,4on5,56,1,43,4.13,30.38,0.12,57,218,4,42,1,7
PHI,2020,5on4,56,31,5,24.52,4.82,0.84,224,48,36,9,6,7
PIT,2020,other,56,28,18,25.39,17.49,0.59,93,90,31,27,6,1
PIT,2020,all,56,193,155,157.7,146.22,0.52,1685,1678,155,156,171,168
PIT,2020,5on5,56,126,101,102.34,105.42,0.49,1343,1333,83,99,144,155
PIT,2020,4on5,56,4,32,3.42,18.27,0.16,37,203,7,23,6,6
PIT,2020,5on4,56,35,4,26.54,5.04,0.84,212,52,34,7,15,6
BUF,2020,other,56,12,28,15.94,21.7,0.42,68,90,21,31,1,2
BUF,2020,all,56,134,196,141,165.9,0.46,1592,1889,128,160,150,160
BUF,2020,5on5,56,88,137,101.65,118.03,0.46,1300,1533,81,95,141,150
BUF,2020,4on5,56,4,28,2.01,22.4,0.08,32,231,2,28,5,3
BUF,2020,5on4,56,30,3,21.4,3.76,0.85,192,35,24,6,3,5
COL,2020,other,56,20,17,20.16,14.13,0.59,84,76,30,19,7,6
COL,2020,all,56,197,132,179.85,120.2,0.6,1937,1423,175,116,201,229
COL,2020,5on5,56,131,89,119.37,79.01,0.6,1480,1058,104,65,173,203
COL,2020,4on5,56,1,24,3.26,23.82,0.12,50,245,3,28,6,13
COL,2020,5on4,56,45,2,37.06,3.24,0.92,323,44,38,4,15,7
N.J,2020,other,56,20,21,15.07,17.87,0.46,95,88,15,18,2,4
N.J,2020,all,56,145,189,144.56,164.7,0.47,1613,1739,119,152,149,170
N.J,2020,5on5,56,102,123,108.23,112.8,0.49,1313,1385,82,96,139,157
N.J,2020,4on5,56,3,41,2.65,30.65,0.08,28,228,3,36,0,3
N.J,2020,5on4,56,20,4,18.61,3.39,0.85,177,38,19,2,8,6
FLA,2020,other,56,29,21,26.78,18.89,0.59,118,107,33,20,4,5
FLA,2020,all,56,188,151,176.92,145.04,0.55,1946,1678,169,132,211,233
FLA,2020,5on5,56,120,94,110.77,95.3,0.54,1487,1271,85,77,189,216
FLA,2020,4on5,56,4,33,4.71,26.19,0.15,47,238,6,29,3,9
FLA,2020,5on4,56,35,3,34.68,4.67,0.88,294,62,45,6,15,3
VAN,2020,other,56,17,20,18.04,23.73,0.43,76,84,23,31,1,4
VAN,2020,all,56,148,187,148.37,183.59,0.45,1629,1870,139,171,202,185
VAN,2020,5on5,56,103,131,103.1,127.15,0.45,1295,1477,86,102,176,170
VAN,2020,4on5,56,4,32,2.76,27.73,0.09,48,264,3,32,8,7
VAN,2020,5on4,56,24,4,24.46,4.98,0.83,210,45,27,6,17,4
CAR,2020,other,56,25,25,25.74,17.11,0.6,95,103,32,20,2,3
CAR,2020,all,56,175,134,180.75,143.15,0.56,1794,1581,181,125,193,179
CAR,2020,5on5,56,105,82,118.8,101.17,0.54,1423,1252,106,78,171,154
CAR,2020,4on5,56,5,22,6.53,19.09,0.25,63,187,11,18,5,14
CAR,2020,5on4,56,40,5,29.68,5.78,0.84,213,39,32,9,15,8
L.A,2020,other,56,15,21,15.21,21.75,0.41,78,105,19,28,3,0
L.A,2020,all,56,142,169,132.82,164.21,0.45,1588,1746,135,185,171,181
L.A,2020,5on5,56,95,119,91.15,112.2,0.45,1248,1327,81,119,156,163
L.A,2020,4on5,56,3,26,3.01,26.19,0.1,29,250,5,33,3,12
L.A,2020,5on4,56,29,3,23.44,4.06,0.85,233,64,30,5,9,6
BOS,2020,other,56,21,13,20.42,11.51,0.64,116,80,25,9,5,3
BOS,2020,all,56,164,134,153.9,132.77,0.54,1866,1516,132,108,215,189
BOS,2020,5on5,56,107,93,103.25,94.85,0.52,1484,1169,73,69,193,165
BOS,2020,4on5,56,7,23,5.83,20.91,0.22,67,213,7,22,8,14
BOS,2020,5on4,56,29,5,24.4,5.5,0.82,199,54,27,8,9,7
MIN,2020,other,56,26,17,22.06,16.85,0.57,100,92,25,19,1,6
MIN,2020,all,56,180,159,154.6,144.41,0.52,1587,1705,163,127,194,194
MIN,2020,5on5,56,126,108,106.63,97.69,0.52,1216,1331,109,75,174,174
MIN,2020,4on5,56,2,31,3.41,26.09,0.12,40,236,4,30,8,10
MIN,2020,5on4,56,26,3,22.5,3.77,0.86,231,46,25,3,11,4
WPG,2020,other,56,25,22,18.27,22.21,0.45,82,91,21,24,4,1
WPG,2020,all,56,170,152,154.29,172.53,0.47,1661,1713,151,169,168,178
WPG,2020,5on5,56,109,101,103.82,120.54,0.46,1276,1333,90,112,151,167
WPG,2020,4on5,56,3,26,2.59,24.63,0.1,33,233,4,27,1,7
WPG,2020,5on4,56,33,3,29.6,5.14,0.85,270,56,36,6,12,3
S.J,2020,other,56,14,25,19.75,19.6,0.5,103,101,28,25,7,4
S.J,2020,all,56,146,196,157.02,156.99,0.5,1682,1791,165,155,204,186
S.J,2020,5on5,56,105,134,107.48,109.97,0.49,1304,1394,102,106,184,165
S.J,2020,4on5,56,5,33,5.06,23.49,0.18,60,248,4,20,5,12
S.J,2020,5on4,56,22,4,24.73,3.94,0.86,215,48,31,4,8,5
CGY,2020,other,56,11,20,20.47,20.41,0.5,93,83,30,26,4,4
CGY,2020,all,56,155,160,159.16,147.3,0.52,1689,1577,151,135,201,201
CGY,2020,5on5,56,112,104,107.78,94.09,0.53,1311,1228,88,70,178,176
CGY,2020,4on5,56,2,30,3.9,26.43,0.13,43,201,3,30,5,17
CGY,2020,5on4,56,30,6,27.01,6.38,0.81,242,65,30,9,14,4
STL,2020,other,56,28,25,18.35,21.93,0.46,117,112,22,33,5,7
STL,2020,all,56,167,167,134.83,156.89,0.46,1625,1668,126,158,191,174
STL,2020,5on5,56,102,109,87.78,104.86,0.46,1245,1300,67,88,171,151
STL,2020,4on5,56,5,32,3.06,27.3,0.1,36,233,3,34,6,13
STL,2020,5on4,56,32,1,25.64,2.8,0.9,227,23,34,3,9,3
OTT,2020,other,56,20,17,15.32,17.73,0.46,62,70,21,26,3,4
OTT,2020,all,56,155,189,149.54,162.73,0.48,1663,1799,125,156,208,204
OTT,2020,5on5,56,105,132,102.12,113.1,0.47,1312,1421,69,98,191,186
OTT,2020,4on5,56,7,35,5.84,27.87,0.17,59,254,8,30,4,10
OTT,2020,5on4,56,23,5,26.27,4.04,0.87,230,54,27,2,10,4
EDM,2020,other,56,22,7,20.12,9.57,0.68,75,61,24,12,2,2
EDM,2020,all,56,183,154,174.76,156.46,0.53,1676,1717,169,140,169,190
EDM,2020,5on5,56,115,117,112.29,114.26,0.5,1296,1375,100,89,157,171
EDM,2020,4on5,56,2,26,4.27,29.14,0.13,43,238,5,35,0,12
EDM,2020,5on4,56,44,4,38.09,3.48,0.92,262,43,40,4,10,5
NSH,2020,other,56,14,23,15.79,19.71,0.44,85,88,21,26,2,3
NSH,2020,all,56,151,154,147.83,156.21,0.49,1676,1752,124,136,196,190
NSH,2020,5on5,56,106,90,103.02,104.09,0.5,1345,1399,68,72,174,177
NSH,2020,4on5,56,5,39,3.75,28.78,0.12,35,225,6,35,7,7
NSH,2020,5on4,56,26,2,25.27,3.63,0.87,211,40,29,3,13,3
MTL,2020,other,56,16,26,16.41,22.14,0.43,84,95,20,28,5,2
MTL,2020,all,56,158,165,156.02,162.18,0.49,1746,1580,143,167,191,171
MTL,2020,5on5,56,106,103,114.28,101.17,0.53,1415,1193,96,92,169,152
MTL,2020,4on5,56,9,34,4.94,36.79,0.12,55,260,4,44,9,14
MTL,2020,5on4,56,27,2,20.39,2.08,0.91,192,32,23,3,8,3
DAL,2020,other,56,18,20,13.87,21.23,0.4,95,100,13,25,5,2
DAL,2020,all,56,156,148,144.19,134.4,0.52,1700,1519,115,112,171,173
DAL,2020,5on5,56,101,95,100.66,84.88,0.54,1353,1164,75,52,154,160
DAL,2020,4on5,56,3,30,2.31,25.81,0.08,41,211,1,33,2,6
DAL,2020,5on4,56,34,3,27.35,2.48,0.92,211,44,26,2,10,5
TOR,2020,other,56,23,22,25.79,18.63,0.58,92,80,33,25,1,3
TOR,2020,all,56,186,148,194.61,151.97,0.56,1751,1559,190,130,157,167
TOR,2020,5on5,56,133,95,133.75,106.84,0.56,1365,1243,110,76,149,149
TOR,2020,4on5,56,3,25,6.38,21.92,0.23,65,185,8,24,2,9
TOR,2020,5on4,56,27,6,28.69,4.57,0.86,229,51,39,5,5,6
ARI,2020,other,56,17,28,17.23,22.33,0.44,90,108,28,34,11,8
ARI,2020,all,56,150,174,140.45,161.41,0.47,1536,1710,144,161,189,202
ARI,2020,5on5,56,99,115,96.62,103.95,0.48,1208,1312,86,84,155,176
ARI,2020,4on5,56,1,28,2.72,31.61,0.08,33,247,3,38,5,10
ARI,2020,5on4,56,33,3,23.87,3.53,0.87,205,43,27,5,18,8
DET,2020,other,56,22,20,21.49,18.44,0.54,103,83,28,28,4,3
DET,2020,all,56,125,168,133.68,159.8,0.46,1528,1783,121,160,179,165
DET,2020,5on5,56,87,113,89.57,108,0.45,1205,1426,67,88,163,145
DET,2020,4on5,56,0,32,2.31,28.42,0.08,37,218,1,39,3,7
DET,2020,5on4,56,16,3,20.32,4.92,0.8,183,56,25,5,9,10
NYI,2020,other,56,9,16,14.09,17.74,0.44,70,79,22,20,4,6
NYI,2020,all,56,152,125,148.64,129.63,0.53,1624,1590,157,100,145,153
NYI,2020,5on5,56,113,90,106.18,91.72,0.54,1325,1307,92,57,125,138
NYI,2020,4on5,56,4,19,3.76,17.38,0.18,34,169,5,19,9,9
NYI,2020,5on4,56,26,0,24.62,2.78,0.9,195,35,38,4,7,0
