playerId,name,team,season,situation,games_played,icetime
8475683,Sergei Bobrovsky,FLA,2020,all,3,112:37
8471679,Carey Price,MTL,2020,all,22,1341:38
8477970,Vitek Vanecek,WSH,2020,all,1,13:10
8475852,Petr Mrazek,CAR,2020,all,2,123:11
8481519,Spencer Knight,FLA,2020,all,2,116:20
8477968,Alex Nedeljkovic,CAR,2020,all,9,607:31
8476412,Jordan Binnington,STL,2020,all,4,233:52
8480280,Jeremy Swayman,BOS,2020,all,1,18:34
8475789,Jack Campbell,TOR,2020,all,7,430:51
8471695,Tuukka Rask,BOS,2020,all,11,687:50
8476904,Chris Driedger,FLA,2020,all,3,129:44
8475660,Cam Talbot,MIN,2020,all,7,416:27
8475831,Philipp Grubauer,COL,2020,all,10,597:54
8476945,Connor Hellebuyck,WPG,2020,all,8,537:45
8475215,Robin Lehner,VGK,2020,all,3,182:27
8477424,Juuse Saros,NSH,2020,all,6,432:12
8467950,Craig Anderson,WSH,2020,all,2,112:10
8478492,Ilya Samsonov,WSH,2020,all,3,200:55
8470594,Marc-Andre Fleury,VGK,2020,all,16,972:52
8476883,Andrei Vasilevskiy,T.B,2020,all,23,1389:33
8478009,Ilya Sorokin,NYI,2020,all,7,386:58
8477465,Tristan Jarry,PIT,2020,all,6,396:07
8473575,Semyon Varlamov,NYI,2020,all,14,797:43
8469608,Mike Smith,EDM,2020,all,4,299:48
