playerId,name,team,position,season,situation,games_played,I_F_goals,I_F_primaryAssists,I_F_secondaryAssists,I_F_points,I_F_shotsOnGoal,I_F_blockedShotAttempts,I_F_hits,icetime,I_F_xGoals,I_F_highDangerShots,I_F_highDangerGoals,onIce_xGoalsPercentage,gameScore,I_F_assists
8475791,Taylor Hall,BOS,L,2020,all,11,3.0,1.0,1.0,5.0,28.0,9.0,10.0,199:21,3.34,4.0,2.0,0.56,8.16,2
8471707,James Neal,EDM,L,2020,all,2,0.0,0.0,0.0,0.0,3.0,1.0,8.0,20:45,0.12,0.0,0.0,0.45,0.38,0
8473563,Nicklas Backstrom,WSH,C,2020,all,5,0.0,0.0,1.0,1.0,9.0,3.0,8.0,104:24,0.31,0.0,0.0,0.54,0.13,1
8478542,Evan Rodrigues,PIT,C,2020,all,2,0.0,1.0,0.0,1.0,4.0,1.0,6.0,22:48,0.21,0.0,0.0,0.58,1.35,1
8474151,Ryan McDonagh,T.B,D,2020,all,23,0.0,3.0,5.0,8.0,23.0,20.0,53.0,525:00,0.56,0.0,0.0,0.42,7.23,8
8471724,Kris Letang,PIT,D,2020,all,6,1.0,3.0,2.0,6.0,15.0,12.0,30.0,172:12,0.65,0.0,0.0,0.6,7.63,5
8474009,Nick Bonino,MIN,C,2020,all,7,0.0,0.0,0.0,0.0,5.0,2.0,7.0,90:15,0.15,0.0,0.0,0.28,-0.85,0
8473507,Jeff Petry,MTL,D,2020,all,20,0.0,2.0,4.0,6.0,36.0,30.0,51.0,481:17,1.3,1.0,0.0,0.5,8.4,6
8475208,Brian Dumoulin,PIT,D,2020,all,6,0.0,2.0,0.0,2.0,4.0,6.0,7.0,155:40,0.14,0.0,0.0,0.53,4.25,2
8479944,Zach Aston-Reese,PIT,L,2020,all,6,1.0,0.0,1.0,2.0,7.0,5.0,18.0,84:59,0.71,1.0,1.0,0.6,2.63,1
8477955,Jared McCann,PIT,L,2020,all,6,0.0,1.0,0.0,1.0,14.0,6.0,9.0,84:07,0.39,0.0,0.0,0.5,3.91,1
8475754,Brock Nelson,NYI,C,2020,all,19,7.0,4.0,1.0,12.0,35.0,21.0,22.0,337:51,5.46,4.0,1.0,0.55,8.36,5
8475193,Tomas Tatar,MTL,L,2020,all,5,0.0,0.0,1.0,1.0,3.0,4.0,17.0,69:44,0.28,0.0,0.0,0.41,1.84,1
8474565,Alex Pietrangelo,VGK,D,2020,all,19,4.0,5.0,3.0,12.0,76.0,40.0,19.0,477:17,3.24,1.0,0.0,0.53,19.25,8
8475188,Brayden McNabb,VGK,D,2020,all,13,1.0,1.0,2.0,4.0,15.0,8.0,45.0,223:40,0.59,0.0,0.0,0.49,6.43,3
8471887,Patric Hornqvist,FLA,R,2020,all,6,2.0,2.0,1.0,5.0,22.0,3.0,17.0,97:23,4.38,6.0,1.0,0.82,6.4,3
8476826,Yanni Gourde,T.B,C,2020,all,23,6.0,1.0,0.0,7.0,45.0,13.0,27.0,404:42,4.91,4.0,3.0,0.47,9.07,1
8475913,Mark Stone,VGK,R,2020,all,19,5.0,1.0,2.0,8.0,32.0,12.0,26.0,376:22,4.34,4.0,2.0,0.47,9.63,3
8477940,Nikolaj Ehlers,WPG,L,2020,all,6,2.0,1.0,0.0,3.0,17.0,14.0,12.0,118:58,1.52,1.0,0.0,0.36,3.78,1
8481813,Gaetan Haas,EDM,C,2020,all,2,0.0,0.0,0.0,0.0,2.0,2.0,4.0,34:00,0.25,0.0,0.0,0.47,0.42,0
8476979,Erik Gustafsson,MTL,D,2020,all,16,1.0,0.0,2.0,3.0,8.0,9.0,8.0,160:06,0.36,0.0,0.0,0.7,6.0,2
8476952,Dominic Toninato,WPG,C,2020,all,3,1.0,0.0,0.0,1.0,1.0,0.0,9.0,23:25,0.11,0.0,0.0,0.45,0.27,0
8477433,Ben Harpur,NSH,D,2020,all,5,0.0,0.0,1.0,1.0,2.0,2.0,10.0,101:45,0.07,0.0,0.0,0.34,-1.95,1
8475225,Craig Smith,BOS,C,2020,all,10,2.0,3.0,0.0,5.0,21.0,11.0,13.0,162:07,2.24,3.0,0.0,0.62,6.26,3
8474013,Ian Cole,MIN,D,2020,all,7,0.0,0.0,0.0,0.0,7.0,9.0,12.0,113:29,0.2,0.0,0.0,0.46,0.43,0
8471669,Paul Stastny,WPG,C,2020,all,6,1.0,1.0,0.0,2.0,9.0,3.0,6.0,112:10,1.35,1.0,0.0,0.48,2.58,1
8480830,Andrei Svechnikov,CAR,R,2020,all,11,2.0,4.0,2.0,8.0,41.0,15.0,26.0,204:29,5.22,6.0,1.0,0.64,12.37,6
8479398,Samuel Girard,COL,D,2020,all,10,0.0,3.0,2.0,5.0,13.0,11.0,17.0,223:28,0.37,0.0,0.0,0.56,4.63,5
8480018,Nick Suzuki,MTL,C,2020,all,22,7.0,7.0,2.0,16.0,53.0,18.0,53.0,416:12,7.64,13.0,4.0,0.56,13.1,9
8477021,Alexander Kerfoot,TOR,C,2020,all,7,1.0,3.0,2.0,6.0,11.0,2.0,8.0,120:18,2.05,3.0,1.0,0.53,4.69,5
8474038,Paul Byron,MTL,L,2020,all,22,3.0,2.0,1.0,6.0,16.0,5.0,66.0,320:45,2.24,4.0,2.0,0.42,2.78,3
8476917,Adam Pelech,NYI,D,2020,all,19,1.0,0.0,4.0,5.0,32.0,20.0,62.0,442:41,1.14,1.0,0.0,0.45,3.95,4
8478851,Alexandre Carrier,NSH,D,2020,all,6,0.0,0.0,2.0,2.0,16.0,7.0,9.0,151:38,0.61,0.0,0.0,0.5,2.8,2
8478508,Yakov Trenin,NSH,C,2020,all,6,2.0,0.0,0.0,2.0,10.0,2.0,19.0,88:37,0.77,1.0,0.0,0.44,0.78,0
8474581,Jake Gardiner,CAR,D,2020,all,1,0.0,0.0,0.0,0.0,0.0,2.0,5.0,9:07,0.0,0.0,0.0,0.59,0.1,0
8476856,Matt Dumba,MIN,D,2020,all,7,1.0,0.0,2.0,3.0,6.0,7.0,13.0,165:31,0.35,0.0,0.0,0.46,0.35,2
8477444,Andre Burakovsky,COL,L,2020,all,10,1.0,1.0,2.0,4.0,10.0,14.0,6.0,134:45,0.99,0.0,0.0,0.63,4.34,3
8479980,Nicolas Hague,VGK,D,2020,all,10,1.0,0.0,1.0,2.0,13.0,11.0,24.0,154:47,0.62,0.0,0.0,0.51,4.57,1
8471276,David Krejci,BOS,C,2020,all,11,2.0,4.0,3.0,9.0,32.0,6.0,9.0,219:59,3.62,2.0,1.0,0.72,12.09,7
8474673,TJ Brodie,TOR,D,2020,all,7,1.0,0.0,1.0,2.0,15.0,8.0,5.0,158:06,0.53,0.0,0.0,0.57,5.52,1
8477456,J.T. Compher,COL,L,2020,all,10,1.0,1.0,0.0,2.0,16.0,5.0,4.0,157:09,3.44,7.0,1.0,0.64,3.41,1
8478115,Pierre Engvall,TOR,L,2020,all,6,0.0,1.0,0.0,1.0,11.0,2.0,10.0,72:06,0.89,1.0,0.0,0.67,3.12,1
8476415,Kyle Rau,MIN,C,2020,all,1,0.0,0.0,0.0,0.0,2.0,1.0,2.0,9:37,0.14,0.0,0.0,0.69,0.2,0
8475793,Ryan Johansen,NSH,C,2020,all,6,3.0,1.0,0.0,4.0,15.0,2.0,13.0,108:46,1.66,3.0,2.0,0.53,4.66,1
8476462,Dougie Hamilton,CAR,D,2020,all,11,2.0,2.0,1.0,5.0,55.0,21.0,18.0,278:46,2.09,0.0,0.0,0.63,11.53,3
8477969,Marcus Pettersson,PIT,D,2020,all,6,0.0,0.0,1.0,1.0,6.0,6.0,5.0,79:54,0.28,0.0,0.0,0.51,2.2,1
8478402,Connor McDavid,EDM,C,2020,all,4,1.0,0.0,3.0,4.0,15.0,13.0,8.0,121:37,1.74,1.0,0.0,0.64,6.04,3
8479385,Jordan Kyrou,STL,C,2020,all,4,1.0,0.0,0.0,1.0,10.0,4.0,0.0,56:23,0.59,0.0,0.0,0.42,1.5,0
8480865,Noah Dobson,NYI,D,2020,all,19,0.0,3.0,4.0,7.0,23.0,26.0,17.0,264:26,0.57,0.0,0.0,0.49,5.92,7
8473533,Jordan Staal,CAR,C,2020,all,11,5.0,2.0,1.0,8.0,26.0,6.0,41.0,217:38,3.4,5.0,3.0,0.6,9.73,3
8478434,Keegan Kolesar,VGK,R,2020,all,17,1.0,2.0,1.0,4.0,14.0,8.0,64.0,192:36,2.04,3.0,0.0,0.52,4.85,3
8475455,Brenden Dillon,WSH,D,2020,all,5,1.0,0.0,0.0,1.0,5.0,7.0,19.0,99:16,0.14,0.0,0.0,0.26,-0.38,0
8474189,Lars Eller,WSH,C,2020,all,4,0.0,0.0,1.0,1.0,8.0,3.0,5.0,61:30,1.11,1.0,0.0,0.47,1.33,1
8480015,Owen Tippett,FLA,R,2020,all,6,1.0,0.0,3.0,4.0,14.0,6.0,9.0,81:37,1.2,0.0,0.0,0.45,4.41,3
8477476,Artturi Lehkonen,MTL,L,2020,all,17,3.0,0.0,1.0,4.0,29.0,14.0,58.0,257:02,5.39,9.0,1.0,0.51,5.95,1
8477478,William Carrier,VGK,L,2020,all,19,1.0,0.0,2.0,3.0,33.0,5.0,69.0,191:33,3.38,5.0,0.0,0.56,6.76,2
8478038,Devon Toews,COL,D,2020,all,10,1.0,3.0,2.0,6.0,19.0,14.0,10.0,254:07,0.51,0.0,0.0,0.51,8.63,5
8476853,Morgan Rielly,TOR,D,2020,all,7,1.0,0.0,2.0,3.0,18.0,10.0,7.0,180:39,0.64,0.0,0.0,0.66,6.65,2
8475692,Mats Zuccarello,MIN,R,2020,all,7,0.0,2.0,1.0,3.0,15.0,8.0,8.0,116:42,1.04,1.0,0.0,0.46,1.9,3
8476921,Jordan Martinook,CAR,L,2020,all,11,0.0,2.0,1.0,3.0,14.0,8.0,39.0,155:32,0.93,1.0,0.0,0.48,3.93,3
8477447,Shea Theodore,VGK,D,2020,all,19,1.0,4.0,5.0,10.0,52.0,41.0,7.0,439:16,2.17,1.0,0.0,0.58,17.6,9
8474818,Jordie Benn,WPG,D,2020,all,3,0.0,1.0,0.0,1.0,3.0,3.0,2.0,37:43,0.05,0.0,0.0,0.28,1.38,1
8475745,Charlie Coyle,BOS,C,2020,all,11,2.0,1.0,0.0,3.0,16.0,6.0,35.0,179:22,1.77,1.0,0.0,0.39,2.61,1
8477953,Kasperi Kapanen,PIT,R,2020,all,6,1.0,1.0,1.0,3.0,12.0,3.0,8.0,102:25,0.74,1.0,0.0,0.44,3.3,2
8475848,Brendan Gallagher,MTL,R,2020,all,22,2.0,1.0,3.0,6.0,52.0,27.0,47.0,322:53,6.55,10.0,1.0,0.57,10.35,4
8476958,Jaccob Slavin,CAR,D,2020,all,8,1.0,3.0,2.0,6.0,13.0,11.0,15.0,195:38,0.4,0.0,0.0,0.56,8.97,5
8475166,John Tavares,TOR,C,2020,all,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2:53,0.0,0.0,0.0,0.23,-0.12,0
8475163,Alex Chiasson,EDM,R,2020,all,3,1.0,0.0,0.0,1.0,6.0,0.0,9.0,35:08,1.13,1.0,1.0,0.69,1.1,0
8478468,Jeremy Lauzon,BOS,D,2020,all,7,0.0,0.0,0.0,0.0,7.0,7.0,25.0,133:22,0.25,0.0,0.0,0.44,0.47,0
8476326,Josh Archibald,EDM,R,2020,all,3,0.0,0.0,0.0,0.0,3.0,2.0,15.0,43:58,0.43,0.0,0.0,0.42,-0.23,0
8480829,Jesperi Kotkaniemi,MTL,C,2020,all,19,5.0,2.0,1.0,8.0,28.0,14.0,35.0,260:25,3.5,6.0,2.0,0.45,5.88,3
8475151,Kyle Palmieri,NYI,R,2020,all,19,7.0,2.0,0.0,9.0,35.0,9.0,34.0,296:10,5.3,9.0,4.0,0.55,8.26,2
8475714,Calle Jarnkrok,NSH,C,2020,all,5,0.0,0.0,1.0,1.0,6.0,4.0,8.0,98:41,0.55,0.0,0.0,0.38,-0.41,1
8477404,Jake Guentzel,PIT,L,2020,all,6,1.0,0.0,1.0,2.0,25.0,5.0,8.0,116:42,2.36,2.0,1.0,0.61,4.58,1
8476975,Cedric Paquette,CAR,C,2020,all,4,0.0,1.0,0.0,1.0,1.0,2.0,11.0,26:58,0.09,0.0,0.0,0.42,0.99,1
8475158,Ryan O'Reilly,STL,C,2020,all,4,0.0,2.0,1.0,3.0,9.0,3.0,3.0,84:28,0.83,1.0,0.0,0.37,2.85,3
8475149,Marcus Johansson,MIN,C,2020,all,3,0.0,0.0,0.0,0.0,1.0,3.0,8.0,34:58,0.09,0.0,0.0,0.47,-0.42,0
8477290,Michael Raffl,WSH,L,2020,all,4,0.0,0.0,0.0,0.0,9.0,1.0,14.0,52:44,0.58,0.0,0.0,0.35,-0.81,0
8478013,Jake Walman,STL,D,2020,all,1,0.0,0.0,0.0,0.0,1.0,2.0,1.0,15:24,0.01,0.0,0.0,0.09,-0.13,0
8477492,Nathan MacKinnon,COL,C,2020,all,10,8.0,6.0,1.0,15.0,38.0,30.0,15.0,207:29,5.45,7.0,3.0,0.61,17.23,7
8480846,Sampo Ranta,COL,L,2020,all,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13:43,0.0,0.0,0.0,0.15,-0.5,0
8470610,Zach Parise,MIN,L,2020,all,4,2.0,0.0,1.0,3.0,5.0,1.0,7.0,54:46,1.15,3.0,0.0,0.33,1.19,1
8476392,Adam Lowry,WPG,C,2020,all,8,2.0,1.0,1.0,4.0,12.0,7.0,45.0,141:40,1.65,2.0,1.0,0.31,2.49,2
8478483,Mitchell Marner,TOR,R,2020,all,7,0.0,3.0,1.0,4.0,19.0,15.0,9.0,173:04,2.08,4.0,0.0,0.64,5.78,4
8475168,Matt Duchene,NSH,C,2020,all,6,1.0,2.0,0.0,3.0,15.0,2.0,8.0,101:34,1.72,1.0,0.0,0.56,4.21,2
8477901,Daniel Carr,WSH,L,2020,all,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10:33,0.03,0.0,0.0,0.84,0.23,0
8475810,Bryan Rust,PIT,R,2020,all,6,2.0,0.0,1.0,3.0,18.0,3.0,9.0,119:15,2.06,1.0,0.0,0.62,5.65,1
8475462,Radko Gudas,FLA,D,2020,all,6,1.0,0.0,1.0,2.0,7.0,7.0,39.0,103:43,0.33,1.0,0.0,0.41,2.18,1
8479344,Jesse Puljujarvi,EDM,R,2020,all,4,1.0,0.0,1.0,2.0,15.0,3.0,8.0,86:50,1.55,2.0,0.0,0.58,3.38,1
8478443,Brandon Carlo,BOS,D,2020,all,8,0.0,0.0,0.0,0.0,10.0,8.0,22.0,180:03,0.28,0.0,0.0,0.38,1.65,0
8476191,Kevan Miller,BOS,D,2020,all,4,0.0,0.0,1.0,1.0,4.0,2.0,7.0,66:09,0.14,0.0,0.0,0.35,0.45,1
8475790,Erik Gudbranson,NSH,D,2020,all,2,0.0,0.0,0.0,0.0,4.0,0.0,6.0,25:57,0.2,0.0,0.0,0.41,-0.1,0
8481186,Logan O'Connor,COL,R,2020,all,2,0.0,0.0,0.0,0.0,3.0,0.0,10.0,22:59,0.2,0.0,0.0,0.42,-0.47,0
8477949,Alex Tuch,VGK,R,2020,all,19,4.0,4.0,1.0,9.0,42.0,17.0,39.0,313:04,5.18,4.0,1.0,0.62,15.4,5
8479977,Kailer Yamamoto,EDM,R,2020,all,4,0.0,1.0,0.0,1.0,6.0,3.0,8.0,77:58,0.81,1.0,0.0,0.65,3.49,1
8476981,Josh Anderson,MTL,R,2020,all,22,5.0,1.0,0.0,6.0,50.0,17.0,87.0,319:06,5.44,3.0,2.0,0.46,5.82,1
8477998,Warren Foegele,CAR,L,2020,all,10,1.0,1.0,0.0,2.0,15.0,5.0,20.0,141:50,1.26,0.0,0.0,0.51,3.42,1
8476331,Dylan DeMelo,WPG,D,2020,all,5,0.0,0.0,0.0,0.0,8.0,1.0,13.0,104:31,0.11,0.0,0.0,0.34,-0.55,0
8477482,Zach Sanford,STL,L,2020,all,4,0.0,0.0,0.0,0.0,3.0,1.0,7.0,42:08,0.22,0.0,0.0,0.17,-0.92,0
8473453,Trevor Lewis,WPG,C,2020,all,8,0.0,0.0,0.0,0.0,3.0,2.0,28.0,71:11,0.04,0.0,0.0,0.12,-2.12,0
8475233,David Savard,T.B,D,2020,all,20,0.0,3.0,2.0,5.0,18.0,11.0,47.0,282:24,0.53,0.0,0.0,0.47,4.7,5
8481477,Nico Sturm,MIN,C,2020,all,7,1.0,1.0,0.0,2.0,6.0,7.0,15.0,77:46,0.72,1.0,1.0,0.36,1.67,1
8477930,Pierre-Edouard Bellemare,COL,C,2020,all,10,0.0,2.0,1.0,3.0,9.0,4.0,16.0,101:36,0.32,0.0,0.0,0.39,2.53,3
