team,season,situation,games_played,goalsFor,goalsAgainst,xGoalsFor,xGoalsAgainst,xGoalsPercentage,shotsOnGoalFor,shotsOnGoalAgainst,highDangerShotsFor,highDangerShotsAgainst,penaltiesFor,penaltiesAgainst
BOS,2020,all,11,33.0,32.0,36.28,32.55,0.53,394.0,341.0,31.0,30.0,45.0,42.0
BOS,2020,5on5,11,21.0,19.0,25.94,19.3,0.57,308.0,267.0,20.0,11.0,41.0,37.0
BOS,2020,4on5,11,0.0,9.0,1.29,9.45,0.12,16.0,53.0,1.0,15.0,0.0,1.0
BOS,2020,5on4,11,11.0,0.0,6.34,0.27,0.96,50.0,7.0,6.0,0.0,1.0,2.0
PIT,2020,other,6,0.0,1.0,0.19,1.04,0.15,4.0,8.0,0.0,1.0,2.0,0.0
PIT,2020,all,6,16.0,21.0,15.59,13.48,0.54,231.0,188.0,10.0,13.0,22.0,21.0
PIT,2020,5on5,6,12.0,18.0,12.62,10.83,0.54,208.0,164.0,6.0,10.0,19.0,21.0
PIT,2020,4on5,6,1.0,2.0,0.52,1.31,0.28,5.0,13.0,1.0,1.0,0.0,0.0
PIT,2020,5on4,6,3.0,0.0,2.26,0.3,0.88,14.0,3.0,3.0,1.0,1.0,0.0
VGK,2020,other,19,4.0,2.0,5.74,5.44,0.51,15.0,28.0,10.0,7.0,0.0,1.0
VGK,2020,all,19,53.0,46.0,55.58,49.77,0.53,610.0,502.0,51.0,57.0,48.0,52.0
VGK,2020,5on5,19,44.0,33.0,42.48,35.6,0.54,505.0,412.0,35.0,40.0,47.0,49.0
VGK,2020,4on5,19,1.0,11.0,1.22,7.76,0.14,18.0,50.0,1.0,9.0,0.0,1.0
VGK,2020,5on4,19,4.0,0.0,6.15,0.97,0.86,72.0,12.0,5.0,1.0,1.0,1.0
MIN,2020,other,7,1.0,3.0,0.99,3.44,0.22,8.0,7.0,1.0,6.0,0.0,0.0
MIN,2020,all,7,13.0,20.0,15.65,20.53,0.43,174.0,225.0,19.0,17.0,20.0,15.0
MIN,2020,5on5,7,10.0,14.0,12.89,14.46,0.47,149.0,180.0,15.0,10.0,20.0,15.0
MIN,2020,4on5,7,0.0,2.0,0.01,2.04,0.01,1.0,33.0,0.0,0.0,0.0,0.0
MIN,2020,5on4,7,2.0,1.0,1.75,0.59,0.75,16.0,5.0,3.0,1.0,0.0,0.0
COL,2020,other,10,6.0,1.0,5.84,1.15,0.83,18.0,7.0,7.0,1.0,0.0,0.0
COL,2020,all,10,38.0,27.0,30.34,24.7,0.55,308.0,302.0,31.0,19.0,27.0,35.0
COL,2020,5on5,10,22.0,21.0,18.67,19.9,0.48,247.0,249.0,17.0,14.0,25.0,35.0
COL,2020,4on5,10,0.0,4.0,0.49,3.0,0.14,4.0,34.0,1.0,4.0,0.0,0.0
COL,2020,5on4,10,10.0,1.0,5.34,0.64,0.89,39.0,12.0,6.0,0.0,2.0,0.0
MTL,2020,other,22,6.0,5.0,9.16,7.69,0.54,33.0,25.0,16.0,11.0,2.0,1.0
MTL,2020,all,22,51.0,54.0,65.2,67.65,0.49,635.0,676.0,75.0,70.0,72.0,62.0
MTL,2020,5on5,22,33.0,43.0,46.37,48.7,0.49,517.0,555.0,50.0,49.0,62.0,55.0
MTL,2020,4on5,22,3.0,5.0,1.9,10.01,0.16,24.0,80.0,2.0,9.0,4.0,4.0
MTL,2020,5on4,22,9.0,1.0,7.77,1.25,0.86,61.0,16.0,7.0,1.0,4.0,2.0
WPG,2020,other,8,3.0,3.0,1.86,3.98,0.32,9.0,10.0,2.0,6.0,0.0,0.0
WPG,2020,all,8,20.0,22.0,20.07,32.05,0.39,241.0,291.0,15.0,39.0,25.0,18.0
WPG,2020,5on5,8,13.0,13.0,14.8,23.31,0.39,203.0,241.0,11.0,28.0,20.0,17.0
WPG,2020,4on5,8,1.0,4.0,0.61,4.26,0.12,5.0,34.0,1.0,5.0,3.0,1.0
WPG,2020,5on4,8,3.0,2.0,2.8,0.5,0.85,24.0,6.0,1.0,0.0,2.0,0.0
WSH,2020,other,5,0.0,0.0,0.65,1.57,0.29,7.0,13.0,0.0,3.0,1.0,2.0
WSH,2020,all,5,10.0,16.0,14.29,16.76,0.46,169.0,173.0,12.0,15.0,26.0,26.0
WSH,2020,5on5,5,7.0,11.0,8.2,11.96,0.41,126.0,129.0,4.0,10.0,23.0,23.0
WSH,2020,4on5,5,0.0,5.0,0.26,2.47,0.1,6.0,23.0,0.0,1.0,1.0,1.0
WSH,2020,5on4,5,3.0,0.0,5.18,0.77,0.87,30.0,8.0,8.0,1.0,1.0,0.0
TOR,2020,other,7,3.0,2.0,3.87,1.83,0.68,11.0,6.0,5.0,3.0,0.0,0.0
TOR,2020,all,7,18.0,14.0,25.46,17.91,0.59,236.0,198.0,25.0,16.0,20.0,26.0
TOR,2020,5on5,7,12.0,9.0,16.58,12.99,0.56,195.0,159.0,16.0,11.0,18.0,24.0
TOR,2020,4on5,7,0.0,2.0,0.24,2.31,0.09,3.0,24.0,0.0,1.0,1.0,1.0
TOR,2020,5on4,7,3.0,1.0,4.77,0.78,0.86,27.0,9.0,4.0,1.0,1.0,1.0
