team,season,situation,games_played,goalsFor,goalsAgainst,xGoalsFor,xGoalsAgainst,xGoalsPercentage,shotsOnGoalFor,shotsOnGoalAgainst,highDangerShotsFor,highDangerShotsAgainst,penaltiesFor,penaltiesAgainst
NYI,2020,other,19,5.0,2.0,6.26,3.32,0.65,23.0,23.0,9.0,3.0,3.0,6.0
NYI,2020,all,19,54.0,53.0,52.61,56.17,0.48,542.0,668.0,58.0,45.0,65.0,69.0
NYI,2020,5on5,19,40.0,36.0,36.3,41.11,0.47,454.0,560.0,34.0,29.0,59.0,60.0
NYI,2020,4on5,19,0.0,13.0,0.81,9.73,0.08,7.0,66.0,2.0,10.0,1.0,2.0
NYI,2020,5on4,19,9.0,2.0,9.24,2.01,0.82,58.0,19.0,13.0,3.0,2.0,1.0
EDM,2020,other,4,1.0,2.0,1.42,1.56,0.48,5.0,3.0,2.0,2.0,0.0,0.0
EDM,2020,all,4,8.0,14.0,15.47,12.25,0.56,159.0,138.0,14.0,10.0,11.0,12.0
EDM,2020,5on5,4,6.0,9.0,11.87,8.77,0.58,134.0,119.0,10.0,8.0,11.0,8.0
EDM,2020,4on5,4,0.0,3.0,0.12,1.76,0.06,3.0,13.0,0.0,0.0,0.0,1.0
EDM,2020,5on4,4,1.0,0.0,2.06,0.16,0.93,17.0,3.0,2.0,0.0,0.0,3.0
CAR,2020,other,11,5.0,2.0,4.51,2.38,0.65,23.0,16.0,6.0,3.0,0.0,0.0
CAR,2020,all,11,31.0,30.0,35.27,30.81,0.53,405.0,338.0,28.0,21.0,51.0,41.0
CAR,2020,5on5,11,20.0,20.0,23.68,22.03,0.52,326.0,263.0,15.0,12.0,46.0,37.0
CAR,2020,4on5,11,0.0,8.0,1.73,5.7,0.23,12.0,49.0,2.0,5.0,2.0,4.0
CAR,2020,5on4,11,6.0,0.0,5.35,0.71,0.88,44.0,10.0,5.0,1.0,3.0,0.0
T.B,2020,other,23,5.0,3.0,7.04,10.81,0.39,31.0,58.0,8.0,17.0,6.0,5.0
T.B,2020,all,23,75.0,45.0,71.87,71.04,0.5,680.0,700.0,71.0,74.0,95.0,103.0
T.B,2020,5on5,23,47.0,32.0,48.79,45.2,0.52,540.0,543.0,45.0,36.0,79.0,84.0
T.B,2020,4on5,23,2.0,10.0,2.06,13.5,0.13,24.0,87.0,3.0,18.0,4.0,8.0
T.B,2020,5on4,23,21.0,0.0,13.99,1.53,0.9,85.0,12.0,15.0,3.0,6.0,6.0
FLA,2020,other,6,1.0,3.0,4.45,2.41,0.65,25.0,14.0,6.0,2.0,2.0,2.0
FLA,2020,all,6,17.0,24.0,24.03,18.87,0.56,227.0,187.0,25.0,19.0,33.0,34.0
FLA,2020,5on5,6,10.0,12.0,12.71,12.0,0.51,162.0,146.0,8.0,11.0,23.0,27.0
FLA,2020,4on5,6,0.0,8.0,0.23,4.26,0.05,1.0,20.0,1.0,6.0,4.0,3.0
FLA,2020,5on4,6,6.0,1.0,6.63,0.2,0.97,39.0,7.0,10.0,0.0,4.0,2.0
NSH,2020,other,6,2.0,4.0,1.68,2.17,0.44,14.0,10.0,2.0,3.0,0.0,0.0
NSH,2020,all,6,16.0,22.0,15.98,20.88,0.43,205.0,254.0,9.0,16.0,26.0,32.0
NSH,2020,5on5,6,13.0,14.0,12.02,14.3,0.46,156.0,208.0,7.0,8.0,23.0,27.0
NSH,2020,4on5,6,0.0,4.0,0.22,3.22,0.06,4.0,28.0,0.0,3.0,0.0,3.0
NSH,2020,5on4,6,1.0,0.0,2.06,1.18,0.64,31.0,8.0,0.0,2.0,3.0,2.0
STL,2020,other,4,0.0,6.0,0.43,4.47,0.09,4.0,8.0,0.0,6.0,0.0,0.0
STL,2020,all,4,7.0,20.0,6.91,15.18,0.31,110.0,145.0,4.0,17.0,13.0,11.0
STL,2020,5on5,4,4.0,10.0,5.68,9.17,0.38,86.0,121.0,3.0,9.0,13.0,10.0
STL,2020,4on5,4,1.0,4.0,0.18,1.5,0.11,5.0,15.0,0.0,2.0,0.0,1.0
STL,2020,5on4,4,2.0,0.0,0.62,0.03,0.95,15.0,1.0,1.0,0.0,0.0,0.0
BOS,2020,other,11,1.0,4.0,2.71,3.53,0.43,20.0,14.0,4.0,4.0,3.0,2.0
