team,season,situation,games_played
CAR,2020,5on5,2
BOS,2020,5on5,4
MTL,2020,5on5,9
PIT,2020,5on5,6
T.B,2020,5on5,20
CAR,2020,5on5,8
CAR,2020,5on5,8
FLA,2020,5on5,6
COL,2020,5on5,2
NYI,2020,5on5,14
VGK,2020,5on5,14
BOS,2020,5on5,10
MTL,2020,5on5,11
BOS,2020,5on5,2
COL,2020,5on5,10
NYI,2020,5on5,12
MTL,2020,5on5,22
VGK,2020,5on5,3
WSH,2020,5on5,4
NYI,2020,5on5,19
FLA,2020,5on5,4
MTL,2020,5on5,10
T.B,2020,5on5,13
WSH,2020,5on5,5
VGK,2020,5on5,11
TOR,2020,5on5,7
NYI,2020,5on5,18
COL,2020,5on5,10
MTL,2020,5on5,16
MTL,2020,5on5,3
VGK,2020,5on5,9
T.B,2020,5on5,18
VGK,2020,5on5,7
WPG,2020,5on5,4
MIN,2020,5on5,4
T.B,2020,5on5,23
TOR,2020,5on5,5
NSH,2020,5on5,6
EDM,2020,5on5,3
MTL,2020,5on5,13
STL,2020,5on5,3
T.B,2020,5on5,21
CAR,2020,5on5,8
FLA,2020,5on5,2
NYI,2020,5on5,19
CAR,2020,5on5,11
WPG,2020,5on5,3
T.B,2020,5on5,21
FLA,2020,5on5,6
WPG,2020,5on5,1
BOS,2020,5on5,9
COL,2020,5on5,9
MTL,2020,5on5,17
VGK,2020,5on5,2
EDM,2020,5on5,4
MTL,2020,5on5,4
BOS,2020,5on5,11
VGK,2020,5on5,12
MIN,2020,5on5,7
MIN,2020,5on5,3
WSH,2020,5on5,5
T.B,2020,5on5,5
MTL,2020,5on5,19
STL,2020,5on5,2
NYI,2020,5on5,17
COL,2020,5on5,5
MIN,2020,5on5,6
COL,2020,5on5,10
WSH,2020,5on5,5
PIT,2020,5on5,6
CAR,2020,5on5,4
MTL,2020,5on5,16
VGK,2020,5on5,7
MTL,2020,5on5,6
EDM,2020,5on5,1
BOS,2020,5on5,7
MIN,2020,5on5,7
NYI,2020,5on5,18
PIT,2020,5on5,3
BOS,2020,5on5,8
MTL,2020,5on5,4
FLA,2020,5on5,5
TOR,2020,5on5,6
STL,2020,5on5,4
NSH,2020,5on5,5
FLA,2020,5on5,4
WPG,2020,5on5,2
STL,2020,5on5,2
MTL,2020,5on5,10
MTL,2020,5on5,20
COL,2020,5on5,10
FLA,2020,5on5,6
TOR,2020,5on5,5
VGK,2020,5on5,10
CAR,2020,5on5,8
STL,2020,5on5,2
MIN,2020,5on5,6
NSH,2020,5on5,3
EDM,2020,5on5,1
NSH,2020,5on5,4
MTL,2020,5on5,9
WPG,2020,5on5,1
COL,2020,5on5,10
COL,2020,5on5,2
WPG,2020,5on5,5
BOS,2020,5on5,5
T.B,2020,5on5,23
STL,2020,5on5,4
BOS,2020,5on5,8
COL,2020,5on5,6
CAR,2020,5on5,4
TOR,2020,5on5,3
MIN,2020,5on5,3
T.B,2020,5on5,20
TOR,2020,5on5,4
MTL,2020,5on5,19
T.B,2020,5on5,19
CAR,2020,5on5,5
NSH,2020,5on5,4
MIN,2020,5on5,6
EDM,2020,5on5,2
COL,2020,5on5,10
WPG,2020,5on5,7
WSH,2020,5on5,2
PIT,2020,5on5,6
BOS,2020,5on5,3
EDM,2020,5on5,2
TOR,2020,5on5,3
COL,2020,5on5,10
TOR,2020,5on5,2
CAR,2020,5on5,7
NYI,2020,5on5,19
COL,2020,5on5,10
COL,2020,5on5,10
BOS,2020,5on5,9
EDM,2020,5on5,2
STL,2020,5on5,3
EDM,2020,5on5,2
MTL,2020,5on5,4
WPG,2020,5on5,7
VGK,2020,5on5,12
MIN,2020,5on5,7
FLA,2020,5on5,5
PIT,2020,5on5,4
MTL,2020,5on5,22
STL,2020,5on5,2
WPG,2020,5on5,2
FLA,2020,5on5,6
MTL,2020,5on5,4
WPG,2020,5on5,8
VGK,2020,5on5,1
NSH,2020,5on5,5
WSH,2020,5on5,5
CAR,2020,5on5,2
WPG,2020,5on5,1
VGK,2020,5on5,19
MTL,2020,5on5,3
NYI,2020,5on5,5
TOR,2020,5on5,4
MIN,2020,5on5,3
TOR,2020,5on5,4
STL,2020,5on5,4
BOS,2020,5on5,5
FLA,2020,5on5,6
MTL,2020,5on5,11
NSH,2020,5on5,2
COL,2020,5on5,2
NYI,2020,5on5,17
MTL,2020,5on5,20
CAR,2020,5on5,4
NSH,2020,5on5,5
EDM,2020,5on5,2
WSH,2020,5on5,2
TOR,2020,5on5,6
VGK,2020,5on5,5
T.B,2020,5on5,18
TOR,2020,5on5,3
CAR,2020,5on5,11
MTL,2020,5on5,19
EDM,2020,5on5,3
TOR,2020,5on5,6
WPG,2020,5on5,3
BOS,2020,5on5,1
NSH,2020,5on5,2
BOS,2020,5on5,7
EDM,2020,5on5,4
NYI,2020,5on5,19
MIN,2020,5on5,6
COL,2020,5on5,10
VGK,2020,5on5,19
TOR,2020,5on5,7
VGK,2020,5on5,15
COL,2020,5on5,10
PIT,2020,5on5,6
BOS,2020,5on5,2
TOR,2020,5on5,3
T.B,2020,5on5,18
COL,2020,5on5,7
MTL,2020,5on5,5
T.B,2020,5on5,23
STL,2020,5on5,3
WPG,2020,5on5,5
WPG,2020,5on5,3
PIT,2020,5on5,2
T.B,2020,5on5,6
MTL,2020,5on5,3
MTL,2020,5on5,6
BOS,2020,5on5,3
MTL,2020,5on5,9
T.B,2020,5on5,1
MIN,2020,5on5,4
COL,2020,5on5,4
MTL,2020,5on5,10
NSH,2020,5on5,6
VGK,2020,5on5,2
VGK,2020,5on5,13
VGK,2020,5on5,9
VGK,2020,5on5,13
WPG,2020,5on5,8
TOR,2020,5on5,7
WPG,2020,5on5,8
WPG,2020,5on5,8
VGK,2020,5on5,8
STL,2020,5on5,2
MTL,2020,5on5,3
VGK,2020,5on5,2
PIT,2020,5on5,4
BOS,2020,5on5,3
CAR,2020,5on5,8
STL,2020,5on5,1
VGK,2020,5on5,10
NYI,2020,5on5,19
T.B,2020,5on5,16
CAR,2020,5on5,6
CAR,2020,5on5,7
EDM,2020,5on5,1
PIT,2020,5on5,6
TOR,2020,5on5,5
MTL,2020,5on5,18
NYI,2020,5on5,19
MTL,2020,5on5,9
WSH,2020,5on5,3
BOS,2020,5on5,10
COL,2020,5on5,10
CAR,2020,5on5,2
CAR,2020,5on5,11
FLA,2020,5on5,3
EDM,2020,5on5,4
MTL,2020,5on5,13
NYI,2020,5on5,19
WSH,2020,5on5,5
BOS,2020,5on5,11
FLA,2020,5on5,5
COL,2020,5on5,2
T.B,2020,5on5,19
T.B,2020,5on5,16
CAR,2020,5on5,8
STL,2020,5on5,1
CAR,2020,5on5,10
NSH,2020,5on5,3
VGK,2020,5on5,19
T.B,2020,5on5,20
COL,2020,5on5,10
COL,2020,5on5,1
MTL,2020,5on5,12
VGK,2020,5on5,10
NSH,2020,5on5,6
NYI,2020,5on5,15
COL,2020,5on5,2
VGK,2020,5on5,17
COL,2020,5on5,5
NYI,2020,5on5,5
EDM,2020,5on5,1
T.B,2020,5on5,5
NYI,2020,5on5,19
