team,season,situation,games_played,goalsFor,goalsAgainst,xGoalsFor,xGoalsAgainst,xGoalsPercentage,shotsOnGoalFor,shotsOnGoalAgainst,highDangerShotsFor,highDangerShotsAgainst,penaltiesFor,penaltiesAgainst
VGK,2024,other,82,36.0,18.0,34.22,27.88,0.55,104.0,106.0,53.0,42.0,1.0,2.0
VGK,2024,all,82,274.0,214.0,275.76,232.08,0.54,2480.0,2141.0,338.0,262.0,189.0,207.0
VGK,2024,5on5,82,184.0,155.0,191.44,172.33,0.53,2037.0,1780.0,209.0,184.0,176.0,196.0
VGK,2024,4on5,82,6.0,38.0,5.16,27.89,0.16,48.0,217.0,7.0,32.0,4.0,4.0
VGK,2024,5on4,82,48.0,3.0,44.94,3.98,0.92,291.0,38.0,69.0,4.0,8.0,5.0
TOR,2024,other,82,43.0,40.0,47.24,44.31,0.52,160.0,157.0,75.0,61.0,2.0,5.0
TOR,2024,all,82,267.0,229.0,261.11,266.66,0.49,2298.0,2406.0,305.0,304.0,276.0,260.0
TOR,2024,5on5,82,169.0,136.0,160.95,162.14,0.5,1792.0,1845.0,156.0,163.0,258.0,230.0
TOR,2024,4on5,82,5.0,48.0,4.32,52.57,0.08,58.0,324.0,4.0,68.0,7.0,19.0
TOR,2024,5on4,82,50.0,5.0,48.6,7.64,0.86,288.0,80.0,70.0,12.0,9.0,6.0
MIN,2024,other,82,42.0,32.0,36.65,36.14,0.5,121.0,161.0,61.0,59.0,4.0,7.0
MIN,2024,all,82,225.0,236.0,237.43,238.14,0.5,2264.0,2428.0,255.0,255.0,252.0,250.0
MIN,2024,5on5,82,141.0,148.0,153.2,158.24,0.49,1792.0,1897.0,131.0,147.0,232.0,220.0
MIN,2024,4on5,82,3.0,52.0,3.37,40.06,0.08,45.0,313.0,4.0,45.0,9.0,15.0
MIN,2024,5on4,82,39.0,4.0,44.21,3.69,0.92,306.0,57.0,59.0,4.0,7.0,8.0
PHI,2024,other,82,35.0,43.0,36.37,35.93,0.5,148.0,140.0,53.0,48.0,7.0,11.0
PHI,2024,all,82,232.0,283.0,250.11,237.21,0.51,2213.0,2210.0,294.0,246.0,253.0,263.0
PHI,2024,5on5,82,166.0,195.0,176.71,157.56,0.53,1788.0,1765.0,195.0,141.0,226.0,232.0
PHI,2024,4on5,82,4.0,36.0,5.57,37.3,0.13,48.0,225.0,6.0,54.0,4.0,15.0
PHI,2024,5on4,82,27.0,9.0,31.45,6.42,0.83,229.0,80.0,40.0,3.0,16.0,5.0
BUF,2024,other,82,33.0,47.0,44.11,47.57,0.48,159.0,159.0,62.0,73.0,10.0,7.0
BUF,2024,all,82,265.0,287.0,255.23,277.47,0.48,2280.0,2371.0,282.0,331.0,309.0,301.0
BUF,2024,5on5,82,185.0,184.0,159.17,176.58,0.47,1751.0,1822.0,152.0,184.0,273.0,265.0
BUF,2024,4on5,82,9.0,51.0,5.67,47.19,0.11,78.0,315.0,5.0,65.0,10.0,22.0
BUF,2024,5on4,82,38.0,5.0,46.29,6.13,0.88,292.0,75.0,63.0,9.0,16.0,7.0
CGY,2024,other,82,33.0,42.0,36.16,41.6,0.47,128.0,153.0,56.0,61.0,6.0,5.0
CGY,2024,all,82,220.0,236.0,241.84,252.7,0.49,2414.0,2372.0,278.0,260.0,289.0,302.0
CGY,2024,5on5,82,140.0,142.0,160.1,165.75,0.49,1925.0,1851.0,162.0,148.0,262.0,278.0
CGY,2024,4on5,82,6.0,46.0,3.85,40.66,0.09,58.0,315.0,0.0,47.0,10.0,7.0
CGY,2024,5on4,82,41.0,6.0,41.73,4.68,0.9,303.0,53.0,60.0,4.0,11.0,12.0
SJS,2024,other,82,29.0,38.0,31.41,38.98,0.45,150.0,144.0,46.0,59.0,6.0,6.0
SJS,2024,all,82,208.0,310.0,222.67,295.14,0.43,2203.0,2607.0,247.0,354.0,297.0,274.0
SJS,2024,5on5,82,143.0,204.0,149.52,192.65,0.44,1724.0,2030.0,151.0,206.0,265.0,242.0
SJS,2024,4on5,82,5.0,60.0,4.42,58.02,0.07,60.0,372.0,3.0,82.0,11.0,17.0
SJS,2024,5on4,82,31.0,8.0,37.31,5.49,0.87,269.0,61.0,47.0,7.0,15.0,9.0
CBJ,2024,other,82,22.0,37.0,32.53,33.47,0.49,141.0,148.0,47.0,55.0,6.0,4.0
CBJ,2024,all,82,267.0,267.0,245.17,266.73,0.48,2382.0,2453.0,296.0,305.0,268.0,230.0
CBJ,2024,5on5,82,201.0,179.0,177.83,189.77,0.48,1913.0,1946.0,202.0,196.0,242.0,212.0
CBJ,2024,4on5,82,9.0,45.0,5.64,39.39,0.13,72.0,314.0,8.0,50.0,4.0,12.0
CBJ,2024,5on4,82,35.0,6.0,29.16,4.1,0.88,256.0,45.0,39.0,4.0,16.0,2.0
MTL,2024,other,82,34.0,33.0,32.06,40.09,0.44,118.0,161.0,46.0,54.0,9.0,5.0
MTL,2024,all,82,243.0,261.0,241.22,284.79,0.46,2095.0,2383.0,250.0,331.0,311.0,290.0
MTL,2024,5on5,82,158.0,182.0,167.21,188.61,0.47,1659.0,1822.0,152.0,206.0,273.0,259.0
MTL,2024,4on5,82,9.0,42.0,5.5,50.72,0.1,65.0,346.0,6.0,63.0,14.0,15.0
MTL,2024,5on4,82,42.0,4.0,36.46,5.36,0.87,253.0,54.0,46.0,8.0,15.0,11.0
UTA,2024,other,82,31.0,39.0,38.08,35.99,0.51,128.0,147.0,57.0,48.0,2.0,8.0
UTA,2024,all,82,240.0,247.0,272.69,250.26,0.52,2342.0,2272.0,299.0,261.0,301.0,288.0
UTA,2024,5on5,82,158.0,151.0,185.5,162.7,0.53,1899.0,1728.0,183.0,157.0,265.0,259.0
