playerId,name,team,season,situation,games_played,icetime
8478048,Igor Shesterkin,NYR,2024,all,61,3505:08
8477967,Thatcher Demko,VAN,2024,all,23,1301:58
8478872,Karel Vejmelka,UTA,2024,all,58,3368:20
8479979,Jake Oettinger,DAL,2024,all,58,3410:04
8476883,Andrei Vasilevskiy,TBL,2024,all,63,3743:05
8477968,Alex Nedeljkovic,PIT,2024,all,38,2150:51
8476999,Linus Ullmark,OTT,2024,all,44,2467:17
8478009,Ilya Sorokin,NYI,2024,all,61,3498:51
8476945,Connor Hellebuyck,WPG,2024,all,63,3741:22
8480280,Jeremy Swayman,BOS,2024,all,58,3390:35
8482821,Arvid Soderblom,CHI,2024,all,36,2096:30
8475660,Cam Talbot,DET,2024,all,47,2642:10
8474593,Jacob Markstrom,NJD,2024,all,49,2903:01
8482411,Hunter Shepard,WSH,2024,all,1,60:00
8475717,Calvin Pickard,EDM,2024,all,36,1881:43
8479361,Joseph Woll,TOR,2024,all,42,2442:20
8483530,Jaxson Stauber,UTA,2024,all,6,313:11
8481611,Pyotr Kochetkov,CAR,2024,all,47,2790:42
8477992,Jonas Johansson,TBL,2024,all,19,1110:15
8483710,Dennis Hildeby,TOR,2024,all,6,360:49
8478435,Dan Vladar,CGY,2024,all,30,1781:02
8474596,Jake Allen,NJD,2024,all,31,1738:10
8478406,Mackenzie Blackwood,COL,2024,all,56,3223:38
8478007,Elvis Merzlikins,CBJ,2024,all,53,3170:55
8476932,Anthony Stolarz,TOR,2024,all,34,1986:54
8479973,Stuart Skinner,EDM,2024,all,51,2942:27
8476434,John Gibson,ANA,2024,all,29,1562:09
8470594,Marc-Andre Fleury,MIN,2024,all,26,1390:16
8476412,Jordan Binnington,STL,2024,all,56,3238:59
8481020,Justus Annunen,NSH,2024,all,34,1789:49
8484293,Yaniv Perets,CAR,2024,all,1,8:12
8480947,Kevin Lankinen,VAN,2024,all,51,3019:47
8477424,Juuse Saros,NSH,2024,all,58,3357:49
8482783,Aleksei Kolosov,PHI,2024,all,17,901:55
8481544,Mads Sogaard,OTT,2024,all,2,91:33
8478971,Connor Ingram,UTA,2024,all,22,1210:07
8479292,Charlie Lindgren,WSH,2024,all,39,2287:00
8480193,Daniil Tarasov,CBJ,2024,all,20,1100:25
8477484,Spencer Martin,CAR,2024,all,9,415:59
8479496,David Rittich,LAK,2024,all,34,1860:28
8478039,Kaapo Kahkonen,COL,2024,all,1,58:16
8477480,Eric Comrie,WPG,2024,all,20,1179:33
8478024,Ville Husso,ANA,2024,all,13,639:46
8475831,Philipp Grubauer,SEA,2024,all,26,1460:29
8484910,Victor Ostman,SEA,2024,all,1,20:00
8480313,Logan Thompson,WSH,2024,all,43,2535:09
8482137,Yaroslav Askarov,SJS,2024,all,13,716:48
8479406,Filip Gustavsson,MIN,2024,all,58,3423:35
8477990,Brandon Halverson,TBL,2024,all,1,57:57
8477831,Pheonix Copley,LAK,2024,all,1,27:29
8476914,Joonas Korpisalo,BOS,2024,all,27,1529:42
8481529,Trent Miner,COL,2024,all,2,91:38
8475883,Frederik Andersen,CAR,2024,all,22,1319:31
8476899,Matt Murray,TOR,2024,all,2,118:39
8482657,Sebastian Cossa,DET,2024,all,1,45:00
8477405,Marcus Hogberg,NYI,2024,all,15,728:13
8482123,Drew Commesso,CHI,2024,all,2,71:21
8482668,Tristan Lennox,NYI,2024,all,1,4:43
8480051,Cayden Primeau,MTL,2024,all,11,523:42
8481035,Samuel Ersson,PHI,2024,all,47,2601:47
