team,season,situation,games_played
SEA,2024,5on5,11
VAN,2024,5on5,7
CHI,2024,5on5,21
PHI,2024,5on5,44
LAK,2024,5on5,7
NSH,2024,5on5,7
ANA,2024,5on5,3
SEA,2024,5on5,14
CBJ,2024,5on5,14
NYI,2024,5on5,18
MTL,2024,5on5,54
ANA,2024,5on5,12
STL,2024,5on5,6
BOS,2024,5on5,15
STL,2024,5on5,17
NSH,2024,5on5,15
EDM,2024,5on5,16
UTA,2024,5on5,2
FLA,2024,5on5,55
CBJ,2024,5on5,14
CBJ,2024,5on5,4
CHI,2024,5on5,12
PIT,2024,5on5,9
NYI,2024,5on5,27
CBJ,2024,5on5,4
CHI,2024,5on5,29
SJS,2024,5on5,3
LAK,2024,5on5,24
BOS,2024,5on5,32
CHI,2024,5on5,18
DET,2024,5on5,5
SJS,2024,5on5,12
PHI,2024,5on5,27
CBJ,2024,5on5,7
MIN,2024,5on5,5
NYR,2024,5on5,6
TOR,2024,5on5,22
NSH,2024,5on5,25
TOR,2024,5on5,35
CBJ,2024,5on5,1
CHI,2024,5on5,28
MIN,2024,5on5,27
NSH,2024,5on5,13
ANA,2024,5on5,4
TOR,2024,5on5,19
NYI,2024,5on5,3
BOS,2024,5on5,31
VAN,2024,5on5,29
OTT,2024,5on5,3
CBJ,2024,5on5,9
EDM,2024,5on5,20
NYR,2024,5on5,2
BUF,2024,5on5,10
EDM,2024,5on5,11
CBJ,2024,5on5,15
CAR,2024,5on5,4
COL,2024,5on5,15
DAL,2024,5on5,2
VGK,2024,5on5,6
SJS,2024,5on5,12
COL,2024,5on5,9
MTL,2024,5on5,5
PHI,2024,5on5,8
MTL,2024,5on5,8
SJS,2024,5on5,6
EDM,2024,5on5,42
MIN,2024,5on5,12
SJS,2024,5on5,10
SEA,2024,5on5,32
UTA,2024,5on5,27
NJD,2024,5on5,17
NYR,2024,5on5,65
NJD,2024,5on5,62
BOS,2024,5on5,3
PIT,2024,5on5,3
PIT,2024,5on5,17
BOS,2024,5on5,14
CBJ,2024,5on5,2
LAK,2024,5on5,33
COL,2024,5on5,25
COL,2024,5on5,12
COL,2024,5on5,2
NSH,2024,5on5,19
WPG,2024,5on5,11
NYR,2024,5on5,24
MIN,2024,5on5,22
BUF,2024,5on5,8
MIN,2024,5on5,35
UTA,2024,5on5,19
VGK,2024,5on5,11
ANA,2024,5on5,35
UTA,2024,5on5,18
EDM,2024,5on5,14
WPG,2024,5on5,80
PIT,2024,5on5,7
VGK,2024,5on5,34
ANA,2024,5on5,13
CHI,2024,5on5,3
TBL,2024,5on5,20
EDM,2024,5on5,7
NYI,2024,5on5,15
LAK,2024,5on5,33
