team,season,situation,games_played
DAL,2022,5on5,15
LAK,2022,5on5,6
DAL,2022,5on5,10
NJD,2022,5on5,4
NYI,2022,5on5,6
COL,2022,5on5,3
WPG,2022,5on5,5
EDM,2022,5on5,12
LAK,2022,5on5,6
MIN,2022,5on5,4
FLA,2022,5on5,7
SEA,2022,5on5,9
EDM,2022,5on5,8
LAK,2022,5on5,3
DAL,2022,5on5,9
MIN,2022,5on5,2
WPG,2022,5on5,5
CAR,2022,5on5,11
NYR,2022,5on5,7
NJD,2022,5on5,7
TBL,2022,5on5,3
LAK,2022,5on5,3
NJD,2022,5on5,11
MIN,2022,5on5,6
TOR,2022,5on5,10
SEA,2022,5on5,8
FLA,2022,5on5,8
DAL,2022,5on5,7
COL,2022,5on5,2
NJD,2022,5on5,11
LAK,2022,5on5,2
BOS,2022,5on5,2
NJD,2022,5on5,8
FLA,2022,5on5,21
NYR,2022,5on5,4
NJD,2022,5on5,2
NYR,2022,5on5,2
WPG,2022,5on5,4
CAR,2022,5on5,9
TBL,2022,5on5,3
TOR,2022,5on5,8
VGK,2022,5on5,2
FLA,2022,5on5,14
NYR,2022,5on5,5
NJD,2022,5on5,11
VGK,2022,5on5,11
CAR,2022,5on5,11
TOR,2022,5on5,7
BOS,2022,5on5,7
FLA,2022,5on5,15
EDM,2022,5on5,8
TOR,2022,5on5,5
BOS,2022,5on5,7
DAL,2022,5on5,16
CAR,2022,5on5,3
LAK,2022,5on5,5
MIN,2022,5on5,5
FLA,2022,5on5,19
FLA,2022,5on5,5
VGK,2022,5on5,8
BOS,2022,5on5,3
TBL,2022,5on5,6
TOR,2022,5on5,6
CAR,2022,5on5,15
SEA,2022,5on5,7
CAR,2022,5on5,10
SEA,2022,5on5,12
MIN,2022,5on5,5
WPG,2022,5on5,5
DAL,2022,5on5,12
DAL,2022,5on5,6
BOS,2022,5on5,4
NYR,2022,5on5,7
TOR,2022,5on5,8
NYI,2022,5on5,6
BOS,2022,5on5,3
BOS,2022,5on5,3
NYI,2022,5on5,4
CAR,2022,5on5,13
BOS,2022,5on5,2
NJD,2022,5on5,3
TBL,2022,5on5,5
VGK,2022,5on5,21
WPG,2022,5on5,3
SEA,2022,5on5,12
COL,2022,5on5,7
TOR,2022,5on5,5
DAL,2022,5on5,7
DAL,2022,5on5,2
COL,2022,5on5,3
CAR,2022,5on5,8
DAL,2022,5on5,13
VGK,2022,5on5,6
CAR,2022,5on5,15
WPG,2022,5on5,5
NYI,2022,5on5,6
WPG,2022,5on5,2
NYI,2022,5on5,6
NYI,2022,5on5,6
VGK,2022,5on5,21
TOR,2022,5on5,8
BOS,2022,5on5,5
FLA,2022,5on5,18
DAL,2022,5on5,7
FLA,2022,5on5,7
SEA,2022,5on5,14
NJD,2022,5on5,6
EDM,2022,5on5,8
EDM,2022,5on5,7
NYI,2022,5on5,4
BOS,2022,5on5,5
COL,2022,5on5,7
DAL,2022,5on5,5
TOR,2022,5on5,5
EDM,2022,5on5,9
NJD,2022,5on5,3
TOR,2022,5on5,7
VGK,2022,5on5,5
VGK,2022,5on5,8
TBL,2022,5on5,6
FLA,2022,5on5,20
COL,2022,5on5,4
NJD,2022,5on5,10
TOR,2022,5on5,5
TOR,2022,5on5,5
TOR,2022,5on5,6
VGK,2022,5on5,9
TOR,2022,5on5,11
BOS,2022,5on5,5
NYR,2022,5on5,7
EDM,2022,5on5,11
NYR,2022,5on5,7
CAR,2022,5on5,5
MIN,2022,5on5,6
FLA,2022,5on5,21
TOR,2022,5on5,7
COL,2022,5on5,5
NJD,2022,5on5,5
FLA,2022,5on5,2
NYI,2022,5on5,6
NYR,2022,5on5,7
TBL,2022,5on5,6
SEA,2022,5on5,14
TOR,2022,5on5,10
TBL,2022,5on5,6
EDM,2022,5on5,5
CAR,2022,5on5,2
FLA,2022,5on5,10
NYI,2022,5on5,6
DAL,2022,5on5,13
COL,2022,5on5,5
CAR,2022,5on5,4
DAL,2022,5on5,3
FLA,2022,5on5,4
WPG,2022,5on5,5
FLA,2022,5on5,20
NJD,2022,5on5,9
EDM,2022,5on5,12
EDM,2022,5on5,11
VGK,2022,5on5,1
DAL,2022,5on5,8
NYI,2022,5on5,6
FLA,2022,5on5,17
VGK,2022,5on5,11
NYR,2022,5on5,2
EDM,2022,5on5,11
FLA,2022,5on5,9
VGK,2022,5on5,11
WPG,2022,5on5,3
NJD,2022,5on5,10
NJD,2022,5on5,8
CAR,2022,5on5,5
MIN,2022,5on5,6
VGK,2022,5on5,13
MIN,2022,5on5,4
TBL,2022,5on5,5
SEA,2022,5on5,12
MIN,2022,5on5,4
LAK,2022,5on5,5
NJD,2022,5on5,8
TOR,2022,5on5,5
MIN,2022,5on5,3
EDM,2022,5on5,8
NJD,2022,5on5,12
SEA,2022,5on5,5
DAL,2022,5on5,7
BOS,2022,5on5,7
FLA,2022,5on5,11
DAL,2022,5on5,15
NYI,2022,5on5,3
NJD,2022,5on5,3
VGK,2022,5on5,17
CAR,2022,5on5,6
COL,2022,5on5,7
BOS,2022,5on5,7
SEA,2022,5on5,14
NJD,2022,5on5,3
FLA,2022,5on5,17
TBL,2022,5on5,5
FLA,2022,5on5,17
SEA,2022,5on5,4
SEA,2022,5on5,8
BOS,2022,5on5,7
COL,2022,5on5,3
COL,2022,5on5,6
WPG,2022,5on5,3
FLA,2022,5on5,17
DAL,2022,5on5,13
EDM,2022,5on5,8
NJD,2022,5on5,9
NJD,2022,5on5,7
EDM,2022,5on5,9
FLA,2022,5on5,4
COL,2022,5on5,3
TBL,2022,5on5,1
TOR,2022,5on5,9
TOR,2022,5on5,11
VGK,2022,5on5,22
SEA,2022,5on5,13
SEA,2022,5on5,12
NJD,2022,5on5,7
EDM,2022,5on5,7
COL,2022,5on5,5
TOR,2022,5on5,5
CAR,2022,5on5,6
CAR,2022,5on5,7
EDM,2022,5on5,7
NJD,2022,5on5,10
NYI,2022,5on5,6
SEA,2022,5on5,13
BOS,2022,5on5,3
EDM,2022,5on5,8
COL,2022,5on5,6
TOR,2022,5on5,9
SEA,2022,5on5,13
LAK,2022,5on5,2
DAL,2022,5on5,19
TOR,2022,5on5,5
TOR,2022,5on5,3
CAR,2022,5on5,9
CAR,2022,5on5,8
NYR,2022,5on5,7
FLA,2022,5on5,15
CAR,2022,5on5,12
WPG,2022,5on5,3
VGK,2022,5on5,17
LAK,2022,5on5,2
LAK,2022,5on5,2
TOR,2022,5on5,11
BOS,2022,5on5,3
EDM,2022,5on5,9
DAL,2022,5on5,11
BOS,2022,5on5,3
DAL,2022,5on5,13
EDM,2022,5on5,12
FLA,2022,5on5,6
VGK,2022,5on5,3
BOS,2022,5on5,4
COL,2022,5on5,7
COL,2022,5on5,4
DAL,2022,5on5,9
BOS,2022,5on5,3
DAL,2022,5on5,7
CAR,2022,5on5,15
DAL,2022,5on5,19
NJD,2022,5on5,6
VGK,2022,5on5,14
MIN,2022,5on5,3
WPG,2022,5on5,5
DAL,2022,5on5,10
COL,2022,5on5,5
MIN,2022,5on5,6
VGK,2022,5on5,13
VGK,2022,5on5,4
SEA,2022,5on5,14
EDM,2022,5on5,10
COL,2022,5on5,7
BOS,2022,5on5,5
LAK,2022,5on5,4
SEA,2022,5on5,10
NYI,2022,5on5,5
COL,2022,5on5,7
BOS,2022,5on5,3
TBL,2022,5on5,6
FLA,2022,5on5,20
NJD,2022,5on5,10
NYR,2022,5on5,7
FLA,2022,5on5,13
DAL,2022,5on5,19
EDM,2022,5on5,6
CAR,2022,5on5,4
CAR,2022,5on5,3
NYR,2022,5on5,5
DAL,2022,5on5,12
NYI,2022,5on5,6
FLA,2022,5on5,8
LAK,2022,5on5,3
VGK,2022,5on5,22
FLA,2022,5on5,2
TOR,2022,5on5,7
VGK,2022,5on5,21
WPG,2022,5on5,3
WPG,2022,5on5,5
NJD,2022,5on5,3
COL,2022,5on5,7
NJD,2022,5on5,6
COL,2022,5on5,3
FLA,2022,5on5,17
NYI,2022,5on5,2
SEA,2022,5on5,11
VGK,2022,5on5,12
