playerId,name,team,position,season,situation,games_played,I_F_goals,I_F_primaryAssists,I_F_secondaryAssists,I_F_points,I_F_shotsOnGoal,I_F_blockedShotAttempts,I_F_hits,icetime,I_F_xGoals,I_F_highDangerShots,I_F_highDangerGoals,onIce_xGoalsPercentage,gameScore,I_F_assists
8477500,Bo Horvat,NYI,C,2022,all,6,1.0,1.0,0.0,2.0,8.0,2.0,8.0,118:21,1.02,0.0,0.0,0.62,2.4,1
8473504,Cal Clutterbuck,NYI,R,2022,all,6,1.0,0.0,0.0,1.0,3.0,1.0,24.0,73:42,0.58,1.0,0.0,0.35,-1.48,0
8479400,Pierre-Luc Dubois,WPG,L,2022,all,5,2.0,2.0,0.0,4.0,13.0,5.0,21.0,105:01,1.67,3.0,0.0,0.56,3.02,2
8477365,Connor Clifton,BOS,D,2022,all,3,0.0,0.0,0.0,0.0,5.0,4.0,7.0,43:59,0.24,0.0,0.0,0.37,-0.88,0
8481524,Bowen Byram,COL,D,2022,all,7,0.0,1.0,2.0,3.0,22.0,6.0,22.0,153:26,0.85,0.0,0.0,0.49,5.2,3
8475718,Justin Holl,TOR,D,2022,all,8,0.0,1.0,0.0,1.0,6.0,5.0,18.0,158:02,0.17,0.0,0.0,0.27,0.7,1
8479414,Nathan Bastian,NJD,R,2022,all,12,1.0,0.0,1.0,2.0,13.0,2.0,26.0,135:04,1.66,1.0,0.0,0.39,0.9,1
8470638,Patrice Bergeron,BOS,C,2022,all,3,1.0,0.0,0.0,1.0,12.0,3.0,7.0,58:31,0.86,0.0,0.0,0.66,2.75,0
8476879,Cody Ceci,EDM,D,2022,all,12,0.0,1.0,0.0,1.0,14.0,10.0,26.0,227:42,0.47,0.0,0.0,0.36,0.4,1
8471686,Marc Staal,FLA,D,2022,all,21,0.0,0.0,0.0,0.0,17.0,19.0,37.0,439:31,0.7,0.0,0.0,0.39,-0.13,0
8480009,Eeli Tolvanen,SEA,R,2022,all,14,3.0,5.0,0.0,8.0,28.0,14.0,48.0,228:41,2.73,2.0,1.0,0.52,5.58,5
8476292,Ondrej Palat,NJD,L,2022,all,12,3.0,1.0,3.0,7.0,16.0,10.0,27.0,202:07,2.39,4.0,2.0,0.6,5.49,4
8479944,Zach Aston-Reese,TOR,C,2022,all,6,1.0,0.0,0.0,1.0,4.0,1.0,16.0,53:20,0.66,1.0,1.0,0.39,0.05,0
8475750,Jon Merrill,MIN,D,2022,all,2,0.0,0.0,0.0,0.0,3.0,2.0,1.0,32:51,0.07,0.0,0.0,0.45,0.23,0
8476927,Teddy Blueger,VGK,C,2022,all,6,1.0,1.0,0.0,2.0,6.0,1.0,6.0,63:01,0.38,0.0,0.0,0.4,1.71,1
8480980,Connor Dewar,MIN,C,2022,all,6,0.0,0.0,0.0,0.0,6.0,2.0,15.0,68:30,0.4,0.0,0.0,0.43,-0.83,0
8477931,Tomas Nosek,BOS,L,2022,all,7,0.0,2.0,0.0,2.0,11.0,2.0,6.0,83:34,0.62,0.0,0.0,0.34,2.27,2
8474567,Zach Bogosian,TBL,D,2022,all,5,0.0,1.0,0.0,1.0,6.0,2.0,15.0,63:57,0.21,0.0,0.0,0.44,3.2,1
8474565,Alex Pietrangelo,VGK,D,2022,all,21,1.0,5.0,4.0,10.0,44.0,38.0,24.0,491:45,1.86,1.0,0.0,0.51,11.2,9
8477503,Max Domi,DAL,C,2022,all,19,3.0,4.0,6.0,13.0,34.0,24.0,11.0,282:00,4.2,4.0,2.0,0.55,11.61,10
8478975,Mason Marchment,DAL,L,2022,all,18,4.0,2.0,0.0,6.0,16.0,20.0,52.0,252:48,2.33,4.0,1.0,0.48,5.5,2
8481559,Jack Hughes,NJD,C,2022,all,12,6.0,2.0,3.0,11.0,45.0,18.0,5.0,236:42,4.0,3.0,2.0,0.51,11.27,5
8471303,Alexander Edler,LAK,D,2022,all,4,0.0,0.0,0.0,0.0,2.0,2.0,6.0,48:52,0.03,0.0,0.0,0.26,-1.7,0
8480185,Eetu Luostarinen,FLA,C,2022,all,16,2.0,3.0,0.0,5.0,14.0,15.0,37.0,266:54,2.42,4.0,1.0,0.4,4.0,3
8474090,Brendan Smith,NJD,D,2022,all,3,0.0,1.0,0.0,1.0,2.0,8.0,9.0,48:30,0.06,0.0,0.0,0.38,0.9,1
8478462,Nicolas Roy,VGK,C,2022,all,22,3.0,5.0,3.0,11.0,37.0,8.0,48.0,330:16,4.72,7.0,2.0,0.5,9.59,8
8476885,Jacob Trouba,NYR,D,2022,all,7,0.0,0.0,0.0,0.0,17.0,4.0,34.0,158:04,0.85,0.0,0.0,0.4,1.38,0
8477416,Oliver Bjorkstrand,SEA,R,2022,all,14,4.0,2.0,2.0,8.0,36.0,16.0,23.0,245:53,3.99,4.0,1.0,0.45,6.8,4
8476460,Mark Scheifele,WPG,C,2022,all,4,1.0,0.0,0.0,1.0,10.0,4.0,5.0,70:18,0.79,0.0,0.0,0.6,0.3,0
8476463,Jonas Brodin,MIN,D,2022,all,6,0.0,0.0,0.0,0.0,9.0,11.0,9.0,154:41,0.22,0.0,0.0,0.37,1.82,0
8482093,Seth Jarvis,CAR,C,2022,all,15,5.0,3.0,2.0,10.0,37.0,9.0,42.0,298:38,6.57,6.0,1.0,0.66,14.53,5
8477407,Anthony Duclair,FLA,L,2022,all,20,4.0,7.0,0.0,11.0,40.0,21.0,16.0,306:28,4.39,7.0,2.0,0.44,10.0,7
8478831,Kevin Stenlund,WPG,C,2022,all,5,1.0,0.0,0.0,1.0,6.0,4.0,5.0,68:28,0.81,1.0,0.0,0.33,1.23,0
8478398,Kyle Connor,WPG,L,2022,all,5,3.0,0.0,1.0,4.0,26.0,9.0,4.0,111:41,2.57,3.0,1.0,0.6,5.45,1
8478401,Pavel Zacha,BOS,C,2022,all,7,0.0,4.0,2.0,6.0,15.0,5.0,10.0,122:36,2.03,2.0,0.0,0.57,7.84,6
8473986,Alex Killorn,TBL,L,2022,all,6,3.0,1.0,1.0,5.0,16.0,5.0,10.0,118:47,2.94,5.0,2.0,0.57,5.4,2
8476389,Vincent Trocheck,NYR,C,2022,all,7,1.0,0.0,0.0,1.0,10.0,2.0,19.0,124:39,1.31,2.0,0.0,0.4,0.84,0
8476918,Jimmy Vesey,NYR,L,2022,all,7,0.0,1.0,0.0,1.0,5.0,0.0,13.0,67:08,0.76,1.0,0.0,0.52,1.02,1
8475218,Mattias Ekholm,EDM,D,2022,all,12,1.0,0.0,6.0,7.0,20.0,15.0,30.0,262:37,1.1,1.0,0.0,0.45,8.9,6
8477932,Aaron Ekblad,FLA,D,2022,all,20,2.0,3.0,3.0,8.0,26.0,30.0,36.0,479:01,1.4,1.0,1.0,0.42,7.4,6
8474563,Drew Doughty,LAK,D,2022,all,6,0.0,1.0,2.0,3.0,6.0,6.0,18.0,169:26,0.15,0.0,0.0,0.52,2.45,3
8478840,Will Borgen,SEA,D,2022,all,14,1.0,0.0,2.0,3.0,10.0,11.0,33.0,247:27,0.3,0.0,0.0,0.35,-0.2,2
8479293,Brandon Tanev,SEA,L,2022,all,14,1.0,1.0,2.0,4.0,13.0,5.0,51.0,187:39,0.77,1.0,0.0,0.24,3.55,3
8480880,Jakub Lauko,BOS,C,2022,all,3,0.0,1.0,0.0,1.0,0.0,1.0,7.0,20:33,0.01,0.0,0.0,0.81,0.3,1
8475825,Jani Hakanp,DAL,D,2022,all,15,1.0,1.0,0.0,2.0,13.0,13.0,65.0,307:39,0.54,0.0,0.0,0.45,1.72,1
8470966,Mark Giordano,TOR,D,2022,all,11,0.0,1.0,1.0,2.0,14.0,13.0,9.0,163:47,0.67,0.0,0.0,0.49,1.45,2
8476931,Jake McCabe,TOR,D,2022,all,11,0.0,1.0,1.0,2.0,16.0,7.0,47.0,230:56,0.69,0.0,0.0,0.45,-1.1,2
8476826,Yanni Gourde,SEA,C,2022,all,14,4.0,6.0,3.0,13.0,25.0,10.0,52.0,274:52,3.8,5.0,1.0,0.41,9.03,9
8477504,Josh Morrissey,WPG,D,2022,all,3,0.0,0.0,1.0,1.0,5.0,2.0,8.0,49:49,0.29,0.0,0.0,0.77,1.33,1
8477506,Ryan Pulock,NYI,D,2022,all,6,1.0,2.0,1.0,4.0,12.0,9.0,26.0,140:53,0.34,0.0,0.0,0.45,2.55,3
8475799,Nino Niederreiter,WPG,R,2022,all,5,1.0,2.0,1.0,4.0,10.0,5.0,23.0,85:13,0.86,0.0,0.0,0.55,3.13,3
8471817,Ryan Reaves,MIN,R,2022,all,6,0.0,0.0,0.0,0.0,2.0,1.0,21.0,51:12,0.41,0.0,0.0,0.57,-0.85,0
8474149,Evgenii Dadonov,DAL,R,2022,all,16,4.0,5.0,1.0,10.0,29.0,11.0,18.0,247:37,2.57,3.0,1.0,0.63,11.38,6
8475765,Vladimir Tarasenko,NYR,R,2022,all,7,3.0,0.0,1.0,4.0,19.0,6.0,4.0,106:30,1.25,1.0,0.0,0.35,3.21,1
8479407,Jesper Bratt,NJD,L,2022,all,12,1.0,4.0,1.0,6.0,25.0,9.0,12.0,217:11,3.7,2.0,1.0,0.6,8.63,5
8479365,Trent Frederic,BOS,C,2022,all,5,0.0,0.0,0.0,0.0,8.0,3.0,8.0,51:33,0.85,0.0,0.0,0.49,1.11,0
8482720,Matthew Knies,TOR,L,2022,all,7,1.0,3.0,0.0,4.0,7.0,3.0,15.0,91:52,1.32,1.0,0.0,0.71,3.57,3
8480434,Sean Durzi,LAK,D,2022,all,6,1.0,0.0,0.0,1.0,5.0,10.0,14.0,96:05,0.18,0.0,0.0,0.27,-1.27,0
8480829,Jesperi Kotkaniemi,CAR,C,2022,all,15,3.0,2.0,2.0,7.0,24.0,12.0,18.0,252:29,1.98,3.0,0.0,0.52,6.03,4
