team,season,situation,games_played,goalsFor,goalsAgainst,xGoalsFor,xGoalsAgainst,xGoalsPercentage,shotsOnGoalFor,shotsOnGoalAgainst,highDangerShotsFor,highDangerShotsAgainst,penaltiesFor,penaltiesAgainst
NYI,2022,other,6,2.0,1.0,2.08,1.24,0.63,6.0,6.0,3.0,1.0,0.0,0.0
NYI,2022,all,6,15.0,16.0,17.31,19.74,0.47,174.0,211.0,16.0,23.0,25.0,21.0
NYI,2022,5on5,6,11.0,10.0,12.18,14.3,0.46,141.0,173.0,10.0,15.0,21.0,17.0
NYI,2022,4on5,6,1.0,4.0,0.38,3.49,0.1,6.0,25.0,0.0,5.0,1.0,3.0
NYI,2022,5on4,6,1.0,1.0,2.67,0.71,0.79,21.0,7.0,3.0,2.0,3.0,1.0
NYR,2022,other,7,1.0,4.0,2.32,4.34,0.35,3.0,16.0,3.0,5.0,0.0,1.0
NYR,2022,all,7,17.0,17.0,20.23,24.89,0.45,195.0,206.0,15.0,27.0,31.0,34.0
NYR,2022,5on5,7,11.0,8.0,12.2,16.42,0.43,150.0,157.0,8.0,18.0,27.0,31.0
NYR,2022,4on5,7,0.0,3.0,0.39,3.36,0.1,5.0,25.0,0.0,4.0,1.0,2.0
NYR,2022,5on4,7,5.0,2.0,5.33,0.76,0.87,37.0,8.0,4.0,0.0,3.0,0.0
BOS,2022,other,7,1.0,6.0,3.58,5.64,0.39,5.0,16.0,6.0,11.0,1.0,2.0
BOS,2022,all,7,27.0,26.0,28.18,26.96,0.51,249.0,226.0,28.0,38.0,28.0,33.0
BOS,2022,5on5,7,13.0,15.0,14.78,15.89,0.48,185.0,171.0,12.0,19.0,25.0,30.0
BOS,2022,4on5,7,2.0,4.0,1.15,4.64,0.2,10.0,29.0,1.0,8.0,1.0,1.0
BOS,2022,5on4,7,11.0,1.0,8.66,0.79,0.92,49.0,10.0,9.0,0.0,1.0,0.0
COL,2022,other,7,4.0,0.0,3.19,0.93,0.77,12.0,11.0,4.0,1.0,0.0,0.0
COL,2022,all,7,19.0,18.0,22.2,19.72,0.53,233.0,210.0,22.0,25.0,24.0,22.0
COL,2022,5on5,7,12.0,14.0,15.74,15.75,0.5,181.0,174.0,14.0,20.0,20.0,21.0
COL,2022,4on5,7,1.0,3.0,0.72,2.64,0.21,6.0,21.0,2.0,4.0,0.0,0.0
COL,2022,5on4,7,2.0,1.0,2.55,0.4,0.86,34.0,4.0,2.0,0.0,4.0,1.0
SEA,2022,other,14,4.0,6.0,3.84,5.85,0.4,27.0,18.0,5.0,8.0,0.0,0.0
SEA,2022,all,14,44.0,45.0,36.23,48.48,0.43,408.0,428.0,36.0,55.0,45.0,44.0
SEA,2022,5on5,14,33.0,32.0,27.49,33.91,0.45,329.0,335.0,27.0,37.0,40.0,38.0
SEA,2022,4on5,14,2.0,6.0,0.75,7.8,0.09,11.0,64.0,0.0,8.0,3.0,6.0
SEA,2022,5on4,14,5.0,1.0,4.14,0.93,0.82,41.0,11.0,4.0,2.0,2.0,0.0
WPG,2022,other,5,3.0,1.0,3.79,2.13,0.64,15.0,8.0,7.0,4.0,0.0,1.0
WPG,2022,all,5,14.0,19.0,15.48,16.4,0.49,154.0,159.0,15.0,22.0,23.0,20.0
WPG,2022,5on5,5,6.0,15.0,8.97,10.91,0.45,116.0,128.0,5.0,14.0,19.0,14.0
WPG,2022,4on5,5,0.0,3.0,0.09,3.25,0.03,2.0,21.0,0.0,4.0,2.0,3.0
WPG,2022,5on4,5,5.0,0.0,2.62,0.11,0.96,21.0,2.0,3.0,0.0,2.0,2.0
DAL,2022,other,19,5.0,7.0,7.01,5.63,0.55,25.0,36.0,10.0,8.0,0.0,0.0
DAL,2022,all,19,59.0,61.0,61.39,49.39,0.55,582.0,556.0,72.0,42.0,64.0,63.0
DAL,2022,5on5,19,37.0,46.0,41.01,35.79,0.53,454.0,439.0,46.0,28.0,60.0,58.0
DAL,2022,4on5,19,1.0,7.0,0.7,7.2,0.09,16.0,68.0,0.0,6.0,0.0,2.0
DAL,2022,5on4,19,16.0,1.0,12.67,0.78,0.94,87.0,13.0,16.0,0.0,4.0,3.0
NJD,2022,other,12,4.0,3.0,5.09,3.83,0.57,20.0,5.0,7.0,6.0,1.0,1.0
NJD,2022,all,12,30.0,41.0,38.45,37.01,0.51,338.0,351.0,43.0,35.0,50.0,46.0
NJD,2022,5on5,12,18.0,29.0,27.72,24.22,0.53,272.0,280.0,30.0,22.0,43.0,38.0
NJD,2022,4on5,12,3.0,7.0,0.95,7.58,0.11,10.0,55.0,0.0,6.0,0.0,3.0
NJD,2022,5on4,12,5.0,2.0,4.69,1.38,0.77,36.0,11.0,6.0,1.0,6.0,4.0
TOR,2022,other,11,3.0,2.0,5.4,3.08,0.64,26.0,10.0,10.0,3.0,2.0,0.0
TOR,2022,all,11,33.0,35.0,39.49,35.58,0.53,358.0,350.0,46.0,37.0,41.0,46.0
TOR,2022,5on5,11,22.0,25.0,26.38,25.37,0.51,275.0,280.0,26.0,24.0,38.0,42.0
TOR,2022,4on5,11,0.0,8.0,0.38,6.19,0.06,5.0,49.0,0.0,8.0,0.0,2.0
TOR,2022,5on4,11,8.0,0.0,7.33,0.95,0.89,52.0,11.0,10.0,2.0,1.0,2.0
CAR,2022,other,15,3.0,2.0,3.4,2.87,0.54,12.0,11.0,4.0,5.0,1.0,1.0
CAR,2022,all,15,46.0,38.0,52.84,43.53,0.55,541.0,433.0,57.0,42.0,53.0,59.0
CAR,2022,5on5,15,32.0,27.0,38.9,33.13,0.54,446.0,365.0,42.0,30.0,43.0,49.0
CAR,2022,4on5,15,3.0,7.0,2.67,6.72,0.28,19.0,48.0,4.0,7.0,6.0,8.0
CAR,2022,5on4,15,8.0,2.0,7.88,0.82,0.91,64.0,9.0,7.0,0.0,3.0,1.0
EDM,2022,other,12,2.0,7.0,2.42,5.67,0.3,11.0,25.0,3.0,10.0,2.0,1.0
EDM,2022,all,12,44.0,42.0,44.86,39.45,0.53,411.0,378.0,50.0,49.0,56.0,51.0
EDM,2022,5on5,12,24.0,26.0,28.6,26.02,0.52,315.0,284.0,27.0,30.0,47.0,41.0
EDM,2022,4on5,12,1.0,8.0,1.14,7.04,0.14,18.0,62.0,1.0,8.0,3.0,7.0
EDM,2022,5on4,12,17.0,1.0,12.7,0.72,0.95,67.0,7.0,19.0,1.0,4.0,2.0
FLA,2022,other,21,8.0,4.0,6.89,10.46,0.4,26.0,27.0,13.0,16.0,7.0,3.0
FLA,2022,all,21,62.0,69.0,68.36,85.76,0.44,662.0,749.0,79.0,89.0,96.0,80.0
FLA,2022,5on5,21,41.0,43.0,48.4,55.05,0.47,531.0,584.0,51.0,54.0,84.0,71.0
FLA,2022,4on5,21,2.0,19.0,1.35,17.55,0.07,19.0,119.0,0.0,16.0,3.0,3.0
FLA,2022,5on4,21,11.0,3.0,11.72,2.7,0.81,86.0,19.0,15.0,3.0,2.0,3.0
TBL,2022,other,6,1.0,3.0,2.57,2.88,0.47,7.0,14.0,2.0,5.0,0.0,2.0
TBL,2022,all,6,21.0,23.0,20.12,19.91,0.5,196.0,184.0,21.0,23.0,29.0,27.0
TBL,2022,5on5,6,15.0,14.0,13.56,12.78,0.51,153.0,139.0,13.0,11.0,25.0,24.0
TBL,2022,4on5,6,0.0,6.0,0.88,4.07,0.18,8.0,27.0,2.0,7.0,2.0,1.0
TBL,2022,5on4,6,5.0,0.0,3.11,0.17,0.95,28.0,4.0,4.0,0.0,2.0,0.0
MIN,2022,other,6,2.0,2.0,2.0,2.91,0.41,16.0,16.0,2.0,4.0,0.0,0.0
MIN,2022,all,6,14.0,21.0,17.82,19.29,0.48,184.0,190.0,17.0,22.0,28.0,30.0
MIN,2022,5on5,6,9.0,9.0,11.59,11.07,0.51,129.0,129.0,11.0,12.0,27.0,29.0
MIN,2022,4on5,6,0.0,9.0,0.37,5.03,0.07,6.0,39.0,0.0,6.0,1.0,1.0
MIN,2022,5on4,6,3.0,1.0,3.87,0.27,0.93,33.0,6.0,4.0,0.0,0.0,0.0
VGK,2022,other,22,10.0,5.0,10.43,6.83,0.6,32.0,30.0,18.0,11.0,4.0,5.0
VGK,2022,all,22,88.0,57.0,71.28,65.54,0.52,662.0,705.0,85.0,69.0,85.0,97.0
VGK,2022,5on5,22,66.0,33.0,48.34,43.1,0.53,527.0,546.0,52.0,37.0,68.0,79.0
VGK,2022,4on5,22,1.0,17.0,0.55,14.37,0.04,6.0,104.0,1.0,20.0,3.0,6.0
VGK,2022,5on4,22,11.0,2.0,11.96,1.25,0.91,97.0,25.0,14.0,1.0,10.0,7.0
LAK,2022,other,6,2.0,2.0,1.78,1.51,0.54,11.0,5.0,3.0,2.0,0.0,1.0
LAK,2022,all,6,20.0,25.0,21.29,23.88,0.47,201.0,212.0,24.0,28.0,19.0,24.0
LAK,2022,5on5,6,11.0,15.0,15.15,17.3,0.47,160.0,180.0,16.0,19.0,16.0,21.0
LAK,2022,4on5,6,1.0,8.0,0.7,4.61,0.13,5.0,22.0,1.0,7.0,1.0,1.0
LAK,2022,5on4,6,6.0,0.0,3.66,0.45,0.89,25.0,5.0,4.0,0.0,2.0,1.0
