team,season,situation,games_played
FLA,2023,5on5,24
BOS,2023,5on5,4
LAK,2023,5on5,4
EDM,2023,5on5,4
BOS,2023,5on5,2
CAR,2023,5on5,11
COL,2023,5on5,10
TBL,2023,5on5,4
VAN,2023,5on5,10
EDM,2023,5on5,6
EDM,2023,5on5,25
DAL,2023,5on5,18
WSH,2023,5on5,4
VAN,2023,5on5,12
TOR,2023,5on5,4
NYR,2023,5on5,4
BOS,2023,5on5,9
CAR,2023,5on5,7
NSH,2023,5on5,6
VGK,2023,5on5,1
VAN,2023,5on5,13
EDM,2023,5on5,5
EDM,2023,5on5,6
VGK,2023,5on5,4
WPG,2023,5on5,3
BOS,2023,5on5,11
EDM,2023,5on5,19
BOS,2023,5on5,1
EDM,2023,5on5,13
TOR,2023,5on5,4
NYR,2023,5on5,2
NYR,2023,5on5,14
CAR,2023,5on5,11
DAL,2023,5on5,3
EDM,2023,5on5,9
FLA,2023,5on5,24
TBL,2023,5on5,4
BOS,2023,5on5,7
LAK,2023,5on5,5
NYR,2023,5on5,4
VAN,2023,5on5,13
TBL,2023,5on5,3
FLA,2023,5on5,11
NYR,2023,5on5,10
EDM,2023,5on5,5
LAK,2023,5on5,4
CAR,2023,5on5,2
COL,2023,5on5,8
BOS,2023,5on5,2
NYR,2023,5on5,16
VAN,2023,5on5,8
CAR,2023,5on5,9
LAK,2023,5on5,4
WPG,2023,5on5,5
COL,2023,5on5,8
DAL,2023,5on5,16
DAL,2023,5on5,18
EDM,2023,5on5,12
VAN,2023,5on5,12
EDM,2023,5on5,22
WPG,2023,5on5,1
NYI,2023,5on5,4
BOS,2023,5on5,8
BOS,2023,5on5,9
DAL,2023,5on5,8
FLA,2023,5on5,10
COL,2023,5on5,3
BOS,2023,5on5,4
VAN,2023,5on5,7
CAR,2023,5on5,5
COL,2023,5on5,5
CAR,2023,5on5,6
FLA,2023,5on5,6
LAK,2023,5on5,4
FLA,2023,5on5,16
EDM,2023,5on5,8
DAL,2023,5on5,19
WPG,2023,5on5,3
DAL,2023,5on5,6
TOR,2023,5on5,6
BOS,2023,5on5,11
TBL,2023,5on5,5
EDM,2023,5on5,7
DAL,2023,5on5,5
COL,2023,5on5,9
COL,2023,5on5,3
NYI,2023,5on5,3
WPG,2023,5on5,3
TBL,2023,5on5,2
CAR,2023,5on5,11
DAL,2023,5on5,5
CAR,2023,5on5,8
EDM,2023,5on5,8
TBL,2023,5on5,3
VGK,2023,5on5,7
EDM,2023,5on5,9
VGK,2023,5on5,5
BOS,2023,5on5,8
CAR,2023,5on5,8
FLA,2023,5on5,5
NSH,2023,5on5,6
WSH,2023,5on5,4
CAR,2023,5on5,9
VGK,2023,5on5,5
COL,2023,5on5,10
WSH,2023,5on5,4
EDM,2023,5on5,9
TBL,2023,5on5,2
DAL,2023,5on5,19
BOS,2023,5on5,3
COL,2023,5on5,3
DAL,2023,5on5,2
BOS,2023,5on5,4
TBL,2023,5on5,5
NYR,2023,5on5,16
TBL,2023,5on5,5
VGK,2023,5on5,1
FLA,2023,5on5,11
NSH,2023,5on5,6
WSH,2023,5on5,4
BOS,2023,5on5,2
COL,2023,5on5,11
VAN,2023,5on5,2
TOR,2023,5on5,7
WPG,2023,5on5,5
NYR,2023,5on5,7
NYR,2023,5on5,15
BOS,2023,5on5,3
BOS,2023,5on5,3
COL,2023,5on5,8
LAK,2023,5on5,5
FLA,2023,5on5,13
NYR,2023,5on5,15
BOS,2023,5on5,4
VGK,2023,5on5,4
DAL,2023,5on5,7
COL,2023,5on5,3
DAL,2023,5on5,19
FLA,2023,5on5,15
DAL,2023,5on5,7
DAL,2023,5on5,19
FLA,2023,5on5,13
NYR,2023,5on5,8
TBL,2023,5on5,2
COL,2023,5on5,8
FLA,2023,5on5,15
FLA,2023,5on5,12
NYR,2023,5on5,14
VAN,2023,5on5,6
DAL,2023,5on5,10
NSH,2023,5on5,6
VGK,2023,5on5,5
FLA,2023,5on5,24
VGK,2023,5on5,4
DAL,2023,5on5,8
BOS,2023,5on5,7
NYI,2023,5on5,5
VAN,2023,5on5,12
NYR,2023,5on5,2
TOR,2023,5on5,7
NSH,2023,5on5,1
TOR,2023,5on5,7
VGK,2023,5on5,1
EDM,2023,5on5,14
BOS,2023,5on5,7
LAK,2023,5on5,4
NYR,2023,5on5,7
FLA,2023,5on5,23
DAL,2023,5on5,10
DAL,2023,5on5,3
TOR,2023,5on5,4
FLA,2023,5on5,24
WPG,2023,5on5,5
VGK,2023,5on5,1
VAN,2023,5on5,2
TBL,2023,5on5,3
BOS,2023,5on5,4
WPG,2023,5on5,5
FLA,2023,5on5,19
NYI,2023,5on5,4
DAL,2023,5on5,11
DAL,2023,5on5,14
COL,2023,5on5,9
VGK,2023,5on5,2
WSH,2023,5on5,3
COL,2023,5on5,4
TBL,2023,5on5,3
VAN,2023,5on5,11
EDM,2023,5on5,12
NYR,2023,5on5,9
EDM,2023,5on5,4
VGK,2023,5on5,5
NYR,2023,5on5,13
VAN,2023,5on5,8
EDM,2023,5on5,8
VAN,2023,5on5,11
CAR,2023,5on5,5
FLA,2023,5on5,5
CAR,2023,5on5,9
WSH,2023,5on5,4
EDM,2023,5on5,4
BOS,2023,5on5,4
COL,2023,5on5,10
COL,2023,5on5,8
TOR,2023,5on5,5
FLA,2023,5on5,17
COL,2023,5on5,8
TOR,2023,5on5,6
BOS,2023,5on5,13
NYR,2023,5on5,13
TBL,2023,5on5,4
DAL,2023,5on5,8
TOR,2023,5on5,1
LAK,2023,5on5,5
COL,2023,5on5,7
TOR,2023,5on5,4
VAN,2023,5on5,2
COL,2023,5on5,9
FLA,2023,5on5,2
BOS,2023,5on5,7
WSH,2023,5on5,2
EDM,2023,5on5,20
COL,2023,5on5,5
DAL,2023,5on5,4
NYR,2023,5on5,8
TBL,2023,5on5,5
DAL,2023,5on5,2
FLA,2023,5on5,14
BOS,2023,5on5,3
TBL,2023,5on5,4
NSH,2023,5on5,1
NYR,2023,5on5,14
DAL,2023,5on5,19
NSH,2023,5on5,5
