playerId,name,team,season,situation,games_played,icetime
8477465,Tristan Jarry,PIT,2021,all,1,64:46
8476412,Jordan Binnington,STL,2021,all,6,314:47
8479496,David Rittich,NSH,2021,all,1,15:04
8476999,Linus Ullmark,BOS,2021,all,2,115:15
8480925,Pavel Francouz,COL,2021,all,7,341:11
8474593,Jacob Markstrom,CGY,2021,all,12,712:27
8480280,Jeremy Swayman,BOS,2021,all,5,296:07
8471734,Jonathan Quick,LAK,2021,all,7,384:45
8475156,Mikko Koskinen,EDM,2021,all,3,89:29
8475839,Louis Domingue,PIT,2021,all,6,312:01
8477970,Vitek Vanecek,WSH,2021,all,2,99:49
8476883,Andrei Vasilevskiy,TBL,2021,all,23,1402:42
8481611,Pyotr Kochetkov,CAR,2021,all,4,169:34
8470594,Marc-Andre Fleury,MIN,2021,all,5,296:28
8478024,Ville Husso,STL,2021,all,7,409:16
8475311,Darcy Kuemper,COL,2021,all,16,886:53
8475789,Jack Campbell,TOR,2021,all,7,400:15
8478971,Connor Ingram,NSH,2021,all,4,230:51
8478048,Igor Shesterkin,NYR,2021,all,20,1181:34
8479979,Jake Oettinger,DAL,2021,all,7,429:49
8477293,Antti Raanta,CAR,2021,all,13,663:25
8478902,Erik Kallgren,TOR,2021,all,1,30:46
8475683,Sergei Bobrovsky,FLA,2021,all,10,600:18
8469608,Mike Smith,EDM,2021,all,16,872:15
8480382,Alexandar Georgiev,NYR,2021,all,2,58:57
8477361,Cal Petersen,LAK,2021,all,1,32:14
8478492,Ilya Samsonov,WSH,2021,all,5,262:54
8478435,Dan Vladar,CGY,2021,all,1,19:56
8475660,Cam Talbot,MIN,2021,all,1,57:53
8479193,Casey DeSmith,PIT,2021,all,1,89:07
