team,season,situation,games_played
DAL,2021,5on5,7
CGY,2021,5on5,12
LAK,2021,5on5,5
TBL,2021,5on5,17
CGY,2021,5on5,12
BOS,2021,5on5,4
CAR,2021,5on5,13
TBL,2021,5on5,17
PIT,2021,5on5,7
FLA,2021,5on5,7
WSH,2021,5on5,6
FLA,2021,5on5,6
FLA,2021,5on5,6
TBL,2021,5on5,2
LAK,2021,5on5,6
CGY,2021,5on5,10
COL,2021,5on5,6
NYR,2021,5on5,16
TBL,2021,5on5,12
NSH,2021,5on5,4
CAR,2021,5on5,3
EDM,2021,5on5,16
FLA,2021,5on5,9
CAR,2021,5on5,13
FLA,2021,5on5,8
LAK,2021,5on5,5
STL,2021,5on5,4
EDM,2021,5on5,11
MIN,2021,5on5,6
CAR,2021,5on5,8
FLA,2021,5on5,7
COL,2021,5on5,4
COL,2021,5on5,8
TBL,2021,5on5,14
TOR,2021,5on5,4
FLA,2021,5on5,10
FLA,2021,5on5,7
NSH,2021,5on5,2
EDM,2021,5on5,6
EDM,2021,5on5,9
CAR,2021,5on5,3
STL,2021,5on5,12
COL,2021,5on5,12
BOS,2021,5on5,5
CAR,2021,5on5,4
CAR,2021,5on5,14
FLA,2021,5on5,7
PIT,2021,5on5,6
CAR,2021,5on5,14
WSH,2021,5on5,6
BOS,2021,5on5,6
WSH,2021,5on5,6
NSH,2021,5on5,1
BOS,2021,5on5,4
TBL,2021,5on5,20
TBL,2021,5on5,13
NYR,2021,5on5,15
NYR,2021,5on5,7
FLA,2021,5on5,5
BOS,2021,5on5,5
DAL,2021,5on5,5
TBL,2021,5on5,21
TBL,2021,5on5,22
CAR,2021,5on5,14
TOR,2021,5on5,7
TBL,2021,5on5,16
LAK,2021,5on5,5
CAR,2021,5on5,3
TBL,2021,5on5,21
PIT,2021,5on5,1
TOR,2021,5on5,7
NYR,2021,5on5,19
PIT,2021,5on5,5
BOS,2021,5on5,4
NYR,2021,5on5,2
LAK,2021,5on5,4
MIN,2021,5on5,6
COL,2021,5on5,7
PIT,2021,5on5,7
EDM,2021,5on5,11
STL,2021,5on5,8
TOR,2021,5on5,3
MIN,2021,5on5,5
NYR,2021,5on5,15
LAK,2021,5on5,3
FLA,2021,5on5,9
MIN,2021,5on5,6
FLA,2021,5on5,5
PIT,2021,5on5,7
NYR,2021,5on5,19
COL,2021,5on5,6
LAK,2021,5on5,6
WSH,2021,5on5,4
DAL,2021,5on5,2
LAK,2021,5on5,6
FLA,2021,5on5,5
BOS,2021,5on5,7
TBL,2021,5on5,12
WSH,2021,5on5,3
DAL,2021,5on5,3
CAR,2021,5on5,8
LAK,2021,5on5,6
TBL,2021,5on5,5
DAL,2021,5on5,6
TBL,2021,5on5,13
TBL,2021,5on5,9
TOR,2021,5on5,6
DAL,2021,5on5,7
TBL,2021,5on5,13
TBL,2021,5on5,11
EDM,2021,5on5,5
TBL,2021,5on5,13
STL,2021,5on5,8
EDM,2021,5on5,15
COL,2021,5on5,2
FLA,2021,5on5,4
EDM,2021,5on5,6
BOS,2021,5on5,7
BOS,2021,5on5,5
COL,2021,5on5,16
TBL,2021,5on5,11
TBL,2021,5on5,5
TBL,2021,5on5,8
COL,2021,5on5,6
CAR,2021,5on5,11
PIT,2021,5on5,4
TOR,2021,5on5,6
PIT,2021,5on5,2
PIT,2021,5on5,7
STL,2021,5on5,2
TOR,2021,5on5,4
CAR,2021,5on5,8
STL,2021,5on5,6
EDM,2021,5on5,4
EDM,2021,5on5,11
LAK,2021,5on5,6
NYR,2021,5on5,9
EDM,2021,5on5,4
STL,2021,5on5,3
EDM,2021,5on5,4
EDM,2021,5on5,7
NYR,2021,5on5,17
TBL,2021,5on5,23
FLA,2021,5on5,9
CAR,2021,5on5,2
COL,2021,5on5,20
EDM,2021,5on5,8
FLA,2021,5on5,7
NYR,2021,5on5,17
COL,2021,5on5,10
PIT,2021,5on5,6
TBL,2021,5on5,23
NYR,2021,5on5,4
COL,2021,5on5,13
NYR,2021,5on5,20
TBL,2021,5on5,18
STL,2021,5on5,5
STL,2021,5on5,12
COL,2021,5on5,9
WSH,2021,5on5,5
STL,2021,5on5,4
