team,season,situation,games_played,goalsFor,goalsAgainst,xGoalsFor,xGoalsAgainst,xGoalsPercentage,shotsOnGoalFor,shotsOnGoalAgainst,highDangerShotsFor,highDangerShotsAgainst,penaltiesFor,penaltiesAgainst
NYR,2021,other,20,6.0,7.0,8.1,11.93,0.4,31.0,34.0,9.0,19.0,3.0,4.0
NYR,2021,all,20,62.0,58.0,58.07,79.11,0.42,626.0,756.0,58.0,87.0,80.0,74.0
NYR,2021,5on5,20,38.0,38.0,35.65,56.49,0.39,500.0,612.0,32.0,57.0,68.0,66.0
NYR,2021,4on5,20,2.0,10.0,2.0,9.29,0.18,19.0,92.0,4.0,11.0,4.0,3.0
NYR,2021,5on4,20,16.0,3.0,12.31,1.41,0.9,76.0,18.0,13.0,0.0,5.0,1.0
FLA,2021,other,10,2.0,6.0,3.65,8.3,0.31,19.0,20.0,6.0,14.0,1.0,2.0
FLA,2021,all,10,23.0,32.0,30.31,38.17,0.44,353.0,308.0,27.0,49.0,45.0,39.0
FLA,2021,5on5,10,20.0,16.0,22.15,20.75,0.52,277.0,217.0,18.0,24.0,40.0,37.0
FLA,2021,4on5,10,0.0,10.0,0.53,8.22,0.06,7.0,57.0,0.0,10.0,2.0,0.0
FLA,2021,5on4,10,1.0,0.0,3.98,0.9,0.81,50.0,14.0,3.0,1.0,2.0,0.0
CAR,2021,other,14,5.0,7.0,8.25,7.86,0.51,22.0,39.0,12.0,9.0,3.0,2.0
CAR,2021,all,14,37.0,40.0,44.08,39.38,0.53,441.0,410.0,39.0,43.0,59.0,67.0
CAR,2021,5on5,14,24.0,21.0,27.28,24.25,0.53,335.0,307.0,20.0,28.0,49.0,49.0
CAR,2021,4on5,14,2.0,11.0,1.29,6.46,0.17,19.0,50.0,0.0,6.0,3.0,8.0
CAR,2021,5on4,14,6.0,1.0,7.27,0.81,0.9,65.0,14.0,7.0,0.0,4.0,8.0
MIN,2021,other,6,2.0,3.0,1.76,2.89,0.38,13.0,10.0,2.0,4.0,1.0,1.0
MIN,2021,all,6,16.0,22.0,16.99,18.3,0.48,186.0,188.0,15.0,15.0,31.0,31.0
MIN,2021,5on5,6,10.0,11.0,11.62,8.98,0.56,136.0,122.0,9.0,6.0,28.0,27.0
MIN,2021,4on5,6,0.0,8.0,0.25,5.81,0.04,5.0,46.0,0.0,4.0,0.0,2.0
MIN,2021,5on4,6,4.0,0.0,3.35,0.62,0.84,32.0,10.0,4.0,1.0,2.0,1.0
NSH,2021,other,4,0.0,3.0,0.54,3.08,0.15,3.0,8.0,1.0,6.0,1.0,1.0
NSH,2021,all,4,9.0,21.0,9.02,19.1,0.32,112.0,176.0,7.0,17.0,16.0,14.0
NSH,2021,5on5,4,6.0,12.0,7.19,10.35,0.41,97.0,136.0,5.0,5.0,15.0,11.0
NSH,2021,4on5,4,0.0,5.0,0.16,4.63,0.03,2.0,25.0,0.0,4.0,0.0,1.0
NSH,2021,5on4,4,3.0,1.0,1.12,1.04,0.52,10.0,7.0,1.0,2.0,0.0,1.0
COL,2021,other,20,9.0,4.0,9.78,7.24,0.57,36.0,26.0,15.0,12.0,2.0,2.0
COL,2021,all,20,85.0,55.0,75.37,52.12,0.59,781.0,558.0,70.0,52.0,73.0,76.0
COL,2021,5on5,20,57.0,42.0,48.45,34.74,0.58,623.0,444.0,37.0,28.0,66.0,70.0
COL,2021,4on5,20,2.0,9.0,1.79,9.76,0.16,24.0,78.0,2.0,12.0,3.0,1.0
COL,2021,5on4,20,17.0,0.0,15.35,0.38,0.98,98.0,10.0,16.0,0.0,2.0,3.0
TOR,2021,other,7,6.0,5.0,4.05,2.91,0.58,18.0,15.0,4.0,4.0,0.0,0.0
TOR,2021,all,7,24.0,23.0,25.6,22.37,0.53,216.0,215.0,32.0,28.0,38.0,32.0
TOR,2021,5on5,7,13.0,12.0,14.27,13.5,0.51,150.0,148.0,15.0,15.0,32.0,25.0
TOR,2021,4on5,7,2.0,5.0,1.83,5.06,0.27,13.0,42.0,5.0,7.0,4.0,5.0
TOR,2021,5on4,7,3.0,1.0,5.46,0.9,0.86,35.0,10.0,8.0,2.0,2.0,2.0
BOS,2021,other,7,4.0,4.0,3.78,5.51,0.41,26.0,16.0,4.0,8.0,1.0,0.0
BOS,2021,all,7,20.0,24.0,19.19,21.96,0.47,227.0,206.0,20.0,20.0,41.0,33.0
BOS,2021,5on5,7,10.0,16.0,11.26,10.45,0.52,158.0,142.0,13.0,6.0,28.0,26.0
BOS,2021,4on5,7,1.0,4.0,0.66,5.47,0.11,11.0,36.0,0.0,6.0,7.0,4.0
BOS,2021,5on4,7,5.0,0.0,3.49,0.52,0.87,32.0,12.0,3.0,0.0,5.0,3.0
