playerId,name,team,position,season,situation,games_played,I_F_goals,I_F_primaryAssists,I_F_secondaryAssists,I_F_points,I_F_shotsOnGoal,I_F_blockedShotAttempts,I_F_hits,icetime,I_F_xGoals,I_F_highDangerShots,I_F_highDangerGoals,onIce_xGoalsPercentage,gameScore,I_F_assists
8476853,Morgan Rielly,TOR,D,2021,all,7,3.0,1.0,2.0,6.0,16.0,8.0,16.0,158:06,1.6,1.0,1.0,0.58,5.45,3
8476854,Hampus Lindholm,BOS,D,2021,all,4,0.0,0.0,0.0,0.0,3.0,5.0,3.0,85:55,0.22,0.0,0.0,0.63,1.97,0
8477903,Garnet Hathaway,WSH,R,2021,all,6,1.0,1.0,0.0,2.0,8.0,3.0,36.0,80:28,2.05,3.0,0.0,0.45,1.0,1
8477244,Chad Ruhwedel,PIT,D,2021,all,7,0.0,0.0,0.0,0.0,7.0,1.0,12.0,104:35,0.11,0.0,0.0,0.32,0.07,0
8476925,Colton Sissons,NSH,C,2021,all,4,0.0,2.0,0.0,2.0,6.0,2.0,18.0,64:29,0.6,1.0,0.0,0.33,1.0,2
8476934,Brock McGinn,PIT,L,2021,all,7,1.0,0.0,1.0,2.0,16.0,5.0,13.0,120:45,2.31,3.0,0.0,0.51,1.99,1
8478851,Alexandre Carrier,NSH,D,2021,all,4,0.0,0.0,3.0,3.0,4.0,4.0,17.0,85:27,0.11,0.0,0.0,0.34,0.8,3
8479553,Maxim Mamin,FLA,C,2021,all,4,0.0,0.0,0.0,0.0,9.0,2.0,9.0,42:03,0.9,1.0,0.0,0.43,0.47,0
8478211,Dryden Hunt,NYR,L,2021,all,3,0.0,0.0,0.0,0.0,2.0,1.0,10.0,29:18,0.02,0.0,0.0,0.36,-0.75,0
8475178,Zack Kassian,EDM,R,2021,all,16,2.0,1.0,1.0,4.0,17.0,2.0,52.0,129:57,2.18,3.0,2.0,0.39,2.77,2
8477964,Ivan Barbashev,STL,C,2021,all,12,0.0,1.0,1.0,2.0,13.0,7.0,35.0,161:16,1.49,2.0,0.0,0.37,-0.78,2
8480226,Marian Studenic,DAL,L,2021,all,4,0.0,0.0,0.0,0.0,3.0,1.0,5.0,35:53,0.38,1.0,0.0,0.35,-1.19,0
8471303,Alexander Edler,LAK,D,2021,all,7,0.0,1.0,1.0,2.0,9.0,5.0,18.0,126:09,0.43,0.0,0.0,0.39,2.38,2
8481641,Joel Kiviranta,DAL,L,2021,all,7,0.0,1.0,0.0,1.0,5.0,4.0,12.0,67:09,0.33,1.0,0.0,0.35,-1.18,1
8475158,Ryan O'Reilly,STL,C,2021,all,12,7.0,5.0,0.0,12.0,34.0,9.0,10.0,256:43,3.89,4.0,2.0,0.53,10.82,5
8473512,Claude Giroux,FLA,R,2021,all,10,3.0,2.0,3.0,8.0,25.0,13.0,13.0,180:01,1.69,1.0,1.0,0.41,12.01,5
8475714,Calle Jarnkrok,CGY,C,2021,all,12,1.0,2.0,1.0,4.0,19.0,12.0,16.0,173:58,2.15,3.0,0.0,0.48,6.3,3
8477404,Jake Guentzel,PIT,L,2021,all,7,8.0,2.0,0.0,10.0,39.0,7.0,2.0,157:15,6.68,9.0,4.0,0.72,13.52,2
8479346,Dillon Dube,CGY,C,2021,all,12,0.0,0.0,1.0,1.0,23.0,9.0,35.0,171:45,2.41,1.0,0.0,0.49,4.58,1
8478397,Rasmus Andersson,CGY,D,2021,all,12,3.0,1.0,2.0,6.0,23.0,8.0,13.0,263:14,1.05,1.0,1.0,0.43,8.33,3
8479385,Jordan Kyrou,STL,C,2021,all,12,7.0,2.0,0.0,9.0,32.0,12.0,7.0,189:18,3.93,5.0,3.0,0.53,8.08,2
8477492,Nathan MacKinnon,COL,C,2021,all,20,13.0,6.0,5.0,24.0,117.0,50.0,28.0,428:12,12.89,11.0,3.0,0.7,37.38,11
8473533,Jordan Staal,CAR,C,2021,all,14,1.0,5.0,0.0,6.0,19.0,9.0,51.0,229:35,2.1,0.0,0.0,0.35,7.54,5
8477839,Conor Sheary,WSH,L,2021,all,6,0.0,1.0,0.0,1.0,12.0,6.0,7.0,102:23,1.44,3.0,0.0,0.55,1.99,1
8479336,Carl Grundstrom,LAK,R,2021,all,6,3.0,0.0,1.0,4.0,14.0,6.0,22.0,88:03,2.32,3.0,1.0,0.51,3.03,1
8479525,Ross Colton,TBL,C,2021,all,23,5.0,4.0,0.0,9.0,39.0,12.0,63.0,302:13,5.76,6.0,2.0,0.59,8.05,4
8479998,Mikey Anderson,LAK,D,2021,all,7,0.0,0.0,1.0,1.0,7.0,4.0,28.0,138:46,0.33,0.0,0.0,0.42,-0.28,1
8479442,Troy Stecher,LAK,D,2021,all,4,2.0,1.0,1.0,4.0,9.0,1.0,5.0,67:53,0.27,0.0,0.0,0.51,3.78,2
8475753,Justin Faulk,STL,D,2021,all,12,1.0,3.0,4.0,8.0,29.0,18.0,34.0,311:30,1.1,0.0,0.0,0.54,5.18,7
8480144,David Kampf,TOR,C,2021,all,7,2.0,0.0,0.0,2.0,16.0,2.0,14.0,122:08,1.83,4.0,1.0,0.45,2.74,0
8477930,Pierre-Edouard Bellemare,TBL,L,2021,all,23,2.0,0.0,1.0,3.0,17.0,15.0,31.0,246:29,1.41,2.0,1.0,0.34,2.44,1
8477444,Andre Burakovsky,COL,L,2021,all,12,3.0,1.0,4.0,8.0,13.0,13.0,7.0,148:54,1.06,1.0,1.0,0.53,8.37,5
8478519,Anthony Cirelli,TBL,C,2021,all,23,3.0,2.0,3.0,8.0,44.0,22.0,69.0,442:59,5.32,9.0,2.0,0.41,8.13,5
8481577,Philip Tomasino,NSH,C,2021,all,3,0.0,0.0,0.0,0.0,0.0,2.0,3.0,31:23,0.02,0.0,0.0,0.2,-0.45,0
8478449,Roope Hintz,DAL,C,2021,all,6,2.0,1.0,1.0,4.0,16.0,3.0,11.0,113:02,1.75,1.0,1.0,0.59,5.61,2
8476792,Torey Krug,STL,D,2021,all,3,0.0,1.0,2.0,3.0,7.0,2.0,1.0,43:55,0.36,0.0,0.0,0.49,3.27,3
8477950,Tony DeAngelo,CAR,D,2021,all,14,1.0,5.0,4.0,10.0,28.0,34.0,17.0,301:15,1.29,1.0,0.0,0.6,12.25,9
8475791,Taylor Hall,BOS,L,2021,all,7,2.0,0.0,2.0,4.0,14.0,8.0,6.0,110:35,1.11,0.0,0.0,0.53,3.71,2
8471817,Ryan Reaves,NYR,R,2021,all,18,0.0,0.0,0.0,0.0,13.0,3.0,52.0,169:30,1.48,2.0,0.0,0.42,-1.6,0
8475765,Vladimir Tarasenko,STL,R,2021,all,12,6.0,1.0,2.0,9.0,32.0,11.0,21.0,203:49,3.37,1.0,1.0,0.53,6.24,3
8478542,Evan Rodrigues,PIT,C,2021,all,7,3.0,1.0,1.0,5.0,27.0,9.0,11.0,112:45,3.23,5.0,0.0,0.62,7.15,2
8477365,Connor Clifton,BOS,D,2021,all,7,1.0,1.0,0.0,2.0,10.0,2.0,31.0,119:46,0.28,0.0,0.0,0.33,1.55,1
8475149,Marcus Johansson,WSH,L,2021,all,6,1.0,1.0,0.0,2.0,9.0,2.0,10.0,90:01,1.25,1.0,0.0,0.59,2.04,1
8481477,Nico Sturm,COL,C,2021,all,13,0.0,2.0,0.0,2.0,9.0,2.0,27.0,109:46,0.64,0.0,0.0,0.41,2.33,2
8478017,Mark Friedman,PIT,D,2021,all,6,1.0,0.0,0.0,1.0,7.0,1.0,3.0,65:29,0.41,0.0,0.0,0.51,1.63,0
8477498,Darnell Nurse,EDM,D,2021,all,15,2.0,1.0,3.0,6.0,28.0,21.0,36.0,316:49,1.34,1.0,0.0,0.43,6.15,4
