playerId,name,team,season,situation,games_played,icetime
8478470,Sam Montembeault,MTL,2024,all,3,152:07
8479973,Stuart Skinner,EDM,2024,all,15,881:29
8479979,Jake Oettinger,DAL,2024,all,18,1021:21
8476899,Matt Murray,TOR,2024,all,1,13:37
8479361,Joseph Woll,TOR,2024,all,7,387:26
8476883,Andrei Vasilevskiy,TBL,2024,all,5,293:21
8477480,Eric Comrie,WPG,2024,all,3,42:59
8476999,Linus Ullmark,OTT,2024,all,6,380:02
8478406,Mackenzie Blackwood,COL,2024,all,7,420:45
8478499,Adin Hill,VGK,2024,all,11,676:30
8480313,Logan Thompson,WSH,2024,all,10,596:30
8481611,Pyotr Kochetkov,CAR,2024,all,4,199:58
8475311,Darcy Kuemper,LAK,2024,all,6,369:20
8476932,Anthony Stolarz,TOR,2024,all,7,410:18
8474593,Jacob Markstrom,NJD,2024,all,5,345:08
8476945,Connor Hellebuyck,WPG,2024,all,13,759:14
8470594,Marc-Andre Fleury,MIN,2024,all,1,24:05
8479406,Filip Gustavsson,MIN,2024,all,6,354:14
8475717,Calvin Pickard,EDM,2024,all,10,526:09
8475883,Frederik Andersen,CAR,2024,all,13,743:04
8475683,Sergei Bobrovsky,FLA,2024,all,23,1442:34
8475809,Scott Wedgewood,COL,2024,all,1,18:30
8479292,Charlie Lindgren,WSH,2024,all,1,6:37
8479193,Casey DeSmith,DAL,2024,all,2,70:06
8482487,Jakub Dobes,MTL,2024,all,3,144:07
8481033,Akira Schmid,VGK,2024,all,1,18:56
8476412,Jordan Binnington,STL,2024,all,7,450:30
