playerId,name,team,position,season,situation,games_played,I_F_goals,I_F_primaryAssists,I_F_secondaryAssists,I_F_points,I_F_shotsOnGoal,I_F_blockedShotAttempts,I_F_hits,icetime,I_F_xGoals,I_F_highDangerShots,I_F_highDangerGoals,onIce_xGoalsPercentage,gameScore,I_F_assists
8475791,Taylor Hall,CAR,L,2024,all,15,2.0,3.0,1.0,6.0,30.0,13.0,19.0,222:31,3.8,6.0,2.0,0.59,8.09,4
8475413,Justin Dowling,NJD,C,2024,all,5,0.0,0.0,0.0,0.0,4.0,1.0,12.0,56:13,0.44,0.0,0.0,0.24,-1.99,0
8478975,Mason Marchment,DAL,L,2024,all,18,1.0,2.0,2.0,5.0,34.0,16.0,70.0,274:40,3.17,4.0,0.0,0.61,5.74,4
8478469,Thomas Chabot,OTT,D,2024,all,6,1.0,2.0,1.0,4.0,11.0,19.0,8.0,149:47,0.28,0.0,0.0,0.58,6.58,3
8478970,Jalen Chatfield,CAR,D,2024,all,9,1.0,0.0,0.0,1.0,8.0,16.0,9.0,183:36,0.34,0.0,0.0,0.57,3.1,0
8475799,Nino Niederreiter,WPG,R,2024,all,13,4.0,1.0,1.0,6.0,25.0,6.0,37.0,201:18,2.98,1.0,1.0,0.51,6.48,2
8480192,Johnathan Kovacevic,NJD,D,2024,all,3,0.0,0.0,0.0,0.0,2.0,3.0,8.0,41:59,0.04,0.0,0.0,0.46,0.5,0
8478472,Mathieu Joseph,STL,R,2024,all,3,1.0,0.0,0.0,1.0,6.0,4.0,12.0,40:45,0.51,1.0,0.0,0.43,1.85,0
8482737,Zack Bolduc,STL,R,2024,all,7,0.0,1.0,0.0,1.0,7.0,6.0,19.0,92:59,0.6,0.0,0.0,0.61,0.92,1
8477426,Nick Paul,TBL,L,2024,all,5,2.0,0.0,0.0,2.0,12.0,8.0,18.0,82:53,1.42,2.0,0.0,0.43,2.61,0
8477425,Miles Wood,COL,L,2024,all,1,0.0,0.0,0.0,0.0,1.0,0.0,7.0,12:42,0.01,0.0,0.0,0.15,-0.33,0
8481656,Aliaksei Protas,WSH,C,2024,all,6,1.0,1.0,0.0,2.0,3.0,4.0,4.0,105:38,0.74,1.0,0.0,0.38,-0.34,1
8477940,Nikolaj Ehlers,WPG,L,2024,all,8,5.0,1.0,1.0,7.0,31.0,15.0,12.0,138:18,4.91,6.0,3.0,0.67,7.78,2
8477942,Kevin Fiala,LAK,L,2024,all,6,3.0,4.0,0.0,7.0,25.0,15.0,20.0,131:15,4.14,4.0,2.0,0.55,7.43,4
8483447,Conor Geekie,TBL,C,2024,all,4,0.0,1.0,0.0,1.0,3.0,2.0,8.0,49:28,0.13,0.0,0.0,0.33,1.13,1
8481186,Logan O'Connor,COL,R,2024,all,7,2.0,3.0,1.0,6.0,11.0,3.0,13.0,94:45,0.92,1.0,0.0,0.46,5.78,4
8474149,Evgenii Dadonov,DAL,R,2024,all,16,1.0,2.0,1.0,4.0,16.0,11.0,19.0,186:21,2.03,2.0,1.0,0.49,3.85,3
